COLLEGE_ID,NAME,UNDERGRAD_POP,PCT_FED_LOAN,MEDIAN_GRAD_DEBT,SETTING
110900.0,University of Arkansas for Medical Sciences,633.0,59.25%,$14000,Urban
108700.0,Arkansas Baptist College,593.0,78.82%,$29750,Urban
3005100.0,Arkansas Beauty School-Little Rock,129.0,67.96%,$6333,Urban
3997300.0,Arkansas Beauty College,27.0,67.57%,PrivacySuppressed,Town
108800.0,Lyon College,664.0,50.72%,$24720,Town
3023400.0,Arkansas College of Barbering and Hair Design,127.0,41.46%,$16355,Urban
2363500.0,Arthur's Beauty College Inc-Fort Smith,41.0,69.64%,$12102.5,Urban
110800.0,University of Arkansas,22763.0,38.66%,$21500,Urban
108600.0,University of Arkansas at Pine Bluff,2510.0,65.42%,$26196.5,Urban
109100.0,Arkansas State University-Beebe,2645.0,14.11%,$5500,Town
109000.0,Arkansas State University-Main Campus,8856.0,52.17%,$19500,Urban
108900.0,Arkansas Tech University,8247.0,42.52%,$18000,Town
108500.0,University of Arkansas at Monticello,2589.0,54.37%,$14000,Town
2538500.0,Arthur's Beauty College Inc-Jacksonville,59.0,68.22%,$13417,Suburb
3105200.0,Baptist Health College Little Rock,676.0,81.69%,$11000,Urban
2052200.0,Black River Technical College,1216.0,23.52%,$7950,Rural
109200.0,University of Central Arkansas,9034.0,47.94%,$20900.5,Urban
109300.0,Central Baptist College,676.0,58.37%,$28250,Urban
2220900.0,Cossatot Community College of the University of Arkansas,955.0,0.0%,PrivacySuppressed,Rural
109500.0,Crowley's Ridge College,192.0,66.24%,$21258,Rural
704400.0,Crowley's Ridge Technical Institute,164.0,0.0%,PrivacySuppressed,Town
1226000.0,East Arkansas Community College,565.0,5.69%,PrivacySuppressed,Town
2272400.0,Eastern College of Health Vocations-Little Rock,115.0,94.37%,$4179.5,Urban
3124900.0,Imagine-Paul Mitchell Partner School,385.0,71.75%,$12965,Urban
1210500.0,National Park College,2140.0,33.98%,$10267,Suburb
2073500.0,University of Arkansas Community College-Batesville,954.0,17.61%,$9188,Town
109700.0,Harding University,4147.0,55.08%,$27000,Town
109800.0,Henderson State University,2829.0,42.64%,$20050,Town
109900.0,Hendrix College,1233.0,53.7%,$27000,Urban
3007100.0,Hot Springs Beauty College,38.0,96.36%,PrivacySuppressed,Urban
2330800.0,Jefferson Regional Medical Center School of Nursing,65.0,58.1%,$15880.5,Urban
110000.0,John Brown University,1606.0,46.7%,$20500,Town
2341700.0,Career Academy of Hair Design,169.0,84.64%,$6389.5,Urban
1074100.0,Academy of Salon and Spa,58.0,67.01%,$9833,Urban
2348200.0,Arkansas State University Mid-South,873.0,0.0%,PrivacySuppressed,Suburb
1286000.0,Arkansas Northeastern College,1002.0,0.0%,PrivacySuppressed,Rural
2284200.0,New Tyler Barber College Inc,50.0,36.99%,PrivacySuppressed,Urban
1226100.0,North Arkansas College,1466.0,15.91%,$7000,Town
2073700.0,Northwest Technical Institute,175.0,0.0%,PrivacySuppressed,Urban
110200.0,Ouachita Baptist University,1513.0,60.62%,$21500,Town
997600.0,College of the Ouachitas,642.0,20.56%,$9412,Town
2087000.0,Ozarka College,852.0,22.77%,PrivacySuppressed,Rural
109400.0,University of the Ozarks,745.0,54.52%,$20500,Town
524500.0,University of Arkansas Community College-Morrilton,1796.0,26.47%,$6822,Town
110300.0,Philander Smith College,887.0,94.12%,$30875,Urban
110400.0,Phillips Community College of the University of Arkansas,654.0,0.0%,PrivacySuppressed,Rural
570700.0,Southeast Arkansas College,1087.0,29.33%,$6652.5,Urban
2202400.0,Professional Cosmetology Education Center,28.0,81.08%,PrivacySuppressed,Town
2075300.0,University of Arkansas-Pulaski Technical College,5184.0,50.88%,$15147,Urban
573200.0,University of Arkansas Community College-Hope,1492.0,0.0%,PrivacySuppressed,Town
2111100.0,University of Arkansas Community College Rich Mountain,481.0,0.0%,PrivacySuppressed,Town
792100.0,Paul Mitchell the School-Arkansas,106.0,64.91%,$11115,Urban
2569600.0,Searcy Beauty College,67.0,67.83%,$12653,Town
110500.0,Shorter College,521.0,45.59%,$27861,Urban
110600.0,Williams Baptist University,452.0,63.33%,$19000,Rural
2074600.0,South Arkansas Community College,1100.0,29.62%,$9471,Town
110700.0,Southern Arkansas University Main Campus,3153.0,77.37%,$16750,Town
773800.0,Southern Arkansas University Tech,667.0,35.0%,$5500,Rural
3214300.0,Velvatex College of Beauty Culture,14.0,91.3%,PrivacySuppressed,Urban
111000.0,University of Arkansas-Fort Smith,5455.0,37.87%,$14000,Urban
753100.0,Academy of Art University,7520.0,47.18%,$35688,Urban
2342400.0,The Academy of Radio and TV Broadcasting,14.0,100.0%,$9500,Suburb
2258600.0,Avalon School of Cosmetology-Alameda,125.0,50.47%,$6332,Suburb
672000.0,College of Alameda,4458.0,0.58%,PrivacySuppressed,Suburb
111100.0,Allan Hancock College,9282.0,1.11%,$9500,Urban
746501.0,American Academy of Dramatic Arts-Los Angeles,280.0,52.15%,$12000,Urban
1307400.0,American Beauty College,118.0,58.38%,$5635,Suburb
2241800.0,American Career College-Los Angeles,1237.0,53.2%,$9500,Urban
2099200.0,American Conservatory Theater,1.0,5.26%,PrivacySuppressed,Urban
123200.0,American River College,29082.0,3.6%,$12969,Suburb
111300.0,Antelope Valley College,11868.0,11.2%,$9250,Suburb
111600.0,Art Center College of Design,1974.0,42.87%,$31624,Urban
902200.0,Associated Technical College-Los Angeles,387.0,40.65%,$9500,Urban
2553500.0,Associated Technical College-San Diego,80.0,59.92%,$9500,Urban
111700.0,Azusa Pacific University,5560.0,60.38%,$23092,Suburb
111800.0,Bakersfield College,18695.0,1.69%,$9000,Urban
111900.0,Barstow Community College,2762.0,0.0%,PrivacySuppressed,Town
705000.0,Bellus Academy-Chula Vista,200.0,65.0%,$12284,Suburb
3266300.0,Bethesda University,257.0,35.15%,PrivacySuppressed,Urban
112200.0,Biola University,4039.0,59.28%,$24188,Suburb
2543400.0,Brownson Technical School,51.0,79.55%,$9500,Urban
716400.0,Bryan University,1242.0,77.26%,$20384,Urban
807300.0,Butte College,10188.0,7.19%,$11614.5,Rural
1215400.0,California Institute of Integral Studies,50.0,95.71%,$18750,Urban
112400.0,Cabrillo College,10556.0,1.89%,$10500,Suburb
112500.0,California Baptist University,7397.0,72.11%,$27000,Urban
112700.0,California College of the Arts,1475.0,42.15%,$27000,Urban
113100.0,California Institute of Technology,961.0,4.29%,$12178.5,Urban
113300.0,California Lutheran University,2959.0,48.17%,$21875,Urban
114300.0,California Polytechnic State University-San Luis Obispo,21303.0,31.53%,$18631,Suburb
1111700.0,Alliant International University-San Diego,391.0,6.39%,$5000,Urban
799300.0,California State University-Bakersfield,8705.0,36.87%,$13000,Urban
115700.0,California State University-Stanislaus,9054.0,36.71%,$14216,Suburb
114200.0,California State University-San Bernardino,18088.0,35.16%,$15000,Urban
114400.0,California State Polytechnic University-Pomona,24205.0,34.82%,$18500,Suburb
114600.0,California State University-Chico,16546.0,47.12%,$16750,Urban
114100.0,California State University-Dominguez Hills,13258.0,33.56%,$13740.5,Urban
114700.0,California State University-Fresno,21877.0,29.11%,$14367,Urban
113700.0,California State University-Fullerton,35045.0,30.12%,$14804,Suburb
113800.0,California State University-East Bay,13433.0,36.73%,$15092.5,Urban
113900.0,California State University-Long Beach,31402.0,34.6%,$15000,Urban
114000.0,California State University-Los Angeles,24780.0,32.65%,$12500,Urban
115300.0,California State University-Northridge,35620.0,30.03%,$13833,Urban
115000.0,California State University-Sacramento,28410.0,35.86%,$15250,Urban
131200.0,University of California-Berkeley,30574.0,23.73%,$13200,Urban
131300.0,University of California-Davis,30046.0,36.0%,$14000,Suburb
131400.0,University of California-Irvine,29295.0,36.4%,$16500,Urban
131500.0,University of California-Los Angeles,30994.0,33.32%,$15000,Urban
131600.0,University of California-Riverside,20044.0,50.34%,$19000,Urban
131700.0,University of California-San Diego,28577.0,36.15%,$17500,Urban
132000.0,University of California-Santa Barbara,22181.0,36.32%,$16300,Suburb
132100.0,University of California-Santa Cruz,17577.0,46.41%,$19700,Urban
2267600.0,Sofia University,11.0,55.56%,PrivacySuppressed,Urban
2065700.0,California Beauty School,98.0,44.24%,$7664,Urban
884400.0,California Christian College,16.0,50.0%,PrivacySuppressed,Urban
1186500.0,California Hair Design Academy,206.0,46.94%,$5910,Suburb
113200.0,California Institute of the Arts,979.0,46.1%,$27000,Suburb
113400.0,California State University Maritime Academy,1048.0,53.93%,$26000,Urban
697300.0,Canada College,4996.0,1.21%,PrivacySuppressed,Suburb
890300.0,College of the Canyons,17828.0,2.1%,$10098.5,Suburb
2125000.0,Career Academy of Beauty,139.0,49.61%,$6333,Suburb
673100.0,Casa Loma College-Van Nuys,215.0,84.26%,$18320,Urban
2332809.0,CET-San Diego,201.0,47.71%,$6143,Urban
2332800.0,CET-San Jose,242.0,39.42%,$6143,Urban
2332810.0,CET-El Centro,222.0,10.12%,$6143,Urban
2332814.0,CET-Colton,173.0,61.32%,$6143,Suburb
2332819.0,CET-Watsonville,78.0,11.05%,$6143,Urban
2332813.0,CET-Salinas,74.0,8.33%,$6143,Urban
116100.0,Cerritos College,16744.0,3.02%,$7000,Suburb
1011100.0,Cerro Coso Community College,4736.0,0.0%,PrivacySuppressed,Rural
116200.0,Chabot College,12512.0,1.26%,$7261,Urban
116300.0,Chaffey College,19725.0,0.0%,PrivacySuppressed,Suburb
116400.0,Chapman University,6740.0,54.54%,$21000,Urban
1036500.0,Charles R Drew University of Medicine and Science,138.0,85.23%,$18750,Suburb
2070500.0,Concordia University-Irvine,1821.0,61.04%,$22250,Urban
1203100.0,San Diego Christian College,657.0,84.75%,$23525,Suburb
116600.0,Citrus College,11629.0,1.86%,$4750,Suburb
2178700.0,Citrus Heights Beauty College,92.0,30.25%,PrivacySuppressed,Suburb
450200.0,City College of San Francisco,23574.0,1.12%,$7250,Urban
117000.0,Claremont McKenna College,1334.0,20.56%,$14500,Suburb
2497300.0,Milan Institute-Visalia,286.0,55.52%,$8810,Urban
2309500.0,Clovis Adult Education,792.0,0.0%,PrivacySuppressed,Suburb
2063500.0,Coastline Community College,9764.0,3.41%,$5250,Urban
117700.0,Cogswell College,603.0,67.38%,$31000,Urban
729600.0,Coleman University,222.0,49.85%,$32030,Urban
3577300.0,Coba Academy,61.0,67.82%,$10556,Urban
770700.0,Columbia College,2216.0,0.0%,PrivacySuppressed,Rural
2110200.0,Columbia College Hollywood,453.0,68.83%,$25023,Urban
119701.0,Compton College,6212.0,0.0%,PrivacySuppressed,Suburb
119000.0,Contra Costa College,5372.0,2.5%,PrivacySuppressed,Suburb
753600.0,Cosumnes River College,13027.0,3.24%,$9000,Urban
927200.0,Crafton Hills College,5373.0,0.0%,PrivacySuppressed,Rural
119200.0,Cuesta College,7858.0,4.62%,$9500,Suburb
2111300.0,Cuyamaca College,7922.0,0.79%,PrivacySuppressed,Suburb
119300.0,Cypress College,14434.0,1.44%,$9500,Suburb
448000.0,De Anza College,18183.0,3.15%,PrivacySuppressed,Urban
3964400.0,International School of Beauty Inc,159.0,51.24%,$7240.5,Suburb
3025600.0,Dell'Arte International School of Physical Theatre,19.0,31.58%,PrivacySuppressed,Rural
118200.0,College of the Desert,10074.0,0.0%,PrivacySuppressed,Suburb
2298000.0,Design Institute of San Diego,126.0,65.03%,$42485.5,Urban
119100.0,Diablo Valley College,17926.0,1.27%,PrivacySuppressed,Suburb
119600.0,Dominican University of California,1284.0,68.3%,$27000,Urban
2226000.0,East Los Angeles College,29896.0,0.9%,$4500,Urban
119700.0,El Camino Community College District,21663.0,0.0%,PrivacySuppressed,Suburb
2091200.0,Elegance International,354.0,53.14%,$7600,Urban
903200.0,Empire College,333.0,57.86%,$16100,Urban
1245200.0,Evergreen Valley College,7780.0,0.81%,$9850,Urban
1111200.0,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,2367.0,55.49%,$14167,Urban
1111202.0,FIDM-Fashion Institute of Design & Merchandising-San Francisco,279.0,61.31%,$14167,Urban
1111203.0,FIDM-Fashion Institute of Design & Merchandising-Orange County,71.0,66.34%,$14167,Urban
859700.0,Feather River Community College District,1346.0,10.19%,$10000,Rural
725300.0,Federico Beauty Institute,253.0,60.85%,$6358,Suburb
1298500.0,Hair California Beauty Academy,4.0,0.0%,PrivacySuppressed,Urban
720900.0,Redondo Beach Beauty College,27.0,15.56%,PrivacySuppressed,Suburb
119900.0,Foothill College,13873.0,2.34%,$9500,Suburb
2230900.0,Fredrick and Charles Beauty College,61.0,0.0%,PrivacySuppressed,Town
130700.0,Fresno City College,19322.0,1.38%,$3595,Urban
125300.0,Fresno Pacific University,2791.0,71.9%,$21500,Urban
120100.0,Fullerton College,21969.0,4.9%,PrivacySuppressed,Suburb
120200.0,Gavilan College,5013.0,0.55%,PrivacySuppressed,Suburb
2231900.0,Gemological Institute of America-Carlsbad,203.0,16.52%,PrivacySuppressed,Urban
120300.0,Glendale Community College,12996.0,2.09%,PrivacySuppressed,Urban
2338500.0,Glendale Career College,507.0,75.0%,$9500,Urban
120500.0,Golden Gate University-San Francisco,416.0,40.78%,$30124.5,Urban
120600.0,Golden West College,10842.0,1.75%,$6000,Suburb
120800.0,Grossmont College,16304.0,1.91%,$4500,Suburb
2211000.0,Salon Success Academy-Riverside,61.0,68.75%,$10556,Urban
120900.0,Hartnell College,11218.0,0.0%,PrivacySuppressed,Urban
117100.0,Harvey Mudd College,844.0,40.96%,$23500,Suburb
2285100.0,Hilltop Beauty School,110.0,0.0%,PrivacySuppressed,Suburb
118300.0,Holy Names University,589.0,68.06%,$26975,Urban
114900.0,Humboldt State University,7846.0,53.13%,$19002,Town
121200.0,Humphreys University-Stockton and Modesto Campuses,319.0,70.41%,$30902.5,Urban
121400.0,Imperial Valley College,7360.0,0.0%,PrivacySuppressed,Rural
2128300.0,Institute for Business and Technology,587.0,47.24%,$8050,Urban
2520300.0,Interior Designers Institute,208.0,50.22%,$23664,Urban
2255400.0,Toni & Guy Hairdressing Academy-Santa Monica,222.0,57.11%,$13581.5,Urban
2539500.0,Irvine Valley College,11631.0,1.1%,$5625,Urban
1202600.0,Bellus Academy-El Cajon,155.0,58.46%,$7573,Suburb
448400.0,John F. Kennedy University,96.0,64.71%,$25000,Suburb
274100.0,American Jewish University,63.0,33.85%,PrivacySuppressed,Urban
130800.0,Reedley College,8624.0,1.08%,PrivacySuppressed,Town
2270600.0,Life Pacific College,489.0,66.08%,$19795,Suburb
2179947.0,Argosy University-The Art Institute of California-San Diego,846.0,61.39%,$30481,Urban
121600.0,University of La Verne,5120.0,63.33%,$25000,Suburb
2330500.0,Laguna College of Art and Design,636.0,54.4%,$27000,Rural
1290700.0,Lake Tahoe Community College,1810.0,0.0%,PrivacySuppressed,Rural
1301000.0,Lancaster Beauty School,117.0,59.63%,$7643,Suburb
126600.0,Laney College,8817.0,1.66%,$12000,Urban
121700.0,Lassen Community College,2187.0,2.29%,PrivacySuppressed,Rural
697500.0,Lincoln University,107.0,51.05%,PrivacySuppressed,Urban
3332300.0,Southern California Seminary,51.0,100.0%,PrivacySuppressed,Suburb
121500.0,La Sierra University,1929.0,68.11%,$30250,Urban
121800.0,Loma Linda University,1050.0,63.44%,$16000,Suburb
121900.0,Long Beach City College,23312.0,2.34%,PrivacySuppressed,Urban
122900.0,Southern California University of Health Sciences,72.0,20.35%,$13690,Suburb
122400.0,Los Angeles Harbor College,7354.0,1.03%,$4875,Urban
122600.0,Los Angeles Pierce College,16439.0,4.02%,$10189.5,Urban
704700.0,Los Angeles Southwest College,5138.0,5.73%,$9000,Suburb
122700.0,Los Angeles Trade Technical College,11194.0,3.46%,$8000,Urban
122800.0,Los Angeles Valley College,14631.0,1.75%,$8700,Urban
122000.0,The Master's University and Seminary,1171.0,51.74%,$20500,Suburb
122300.0,Los Angeles City College,11540.0,3.61%,$12354,Urban
616500.0,Los Angeles County College of Nursing and Allied Health,208.0,36.0%,$12065,Urban
1255000.0,Los Angeles Mission College,8624.0,1.91%,$9636,Urban
1034000.0,Los Medanos College,8110.0,1.76%,$9125,Suburb
2179943.0,Argosy University-The Art Institute of California-San Francisco,472.0,67.14%,$30481,Urban
1164900.0,Loyola Marymount University,6257.0,39.63%,$22000,Urban
1186600.0,Lu Ross Academy,217.0,63.13%,$7119.5,Urban
714200.0,Lyle's College of  Beauty,69.0,52.94%,$8556,Urban
1324000.0,Lytles Redwood Empire Beauty College Inc,158.0,43.75%,$6333,Suburb
2546400.0,MTI Business College Inc,75.0,100.0%,$9500,Urban
1291200.0,MTI College,781.0,65.14%,$9500,Suburb
2351900.0,Brightwood College-Sacramento,319.0,82.09%,$9310,Suburb
2091700.0,Brightwood College-San Diego,912.0,68.7%,$9500,Urban
2549000.0,Brightwood College-Vista,494.0,72.35%,$8593.5,Suburb
117800.0,College of Marin,4190.0,0.98%,$12155,Suburb
1047400.0,Marymount California University,929.0,54.88%,$25000,Suburb
1167200.0,Mendocino College,2983.0,3.4%,$10500,Rural
123600.0,Menlo College,726.0,25.19%,$21000,Suburb
123700.0,Merced College,9914.0,0.0%,PrivacySuppressed,Urban
126700.0,Merritt College,5524.0,1.78%,$10500,Urban
123800.0,Mills College,757.0,71.66%,$24154,Urban
123900.0,MiraCosta College,13808.0,2.63%,$7000,Suburb
2119100.0,Mission College,5993.0,0.75%,PrivacySuppressed,Urban
720400.0,Modern Beauty Academy,40.0,37.5%,PrivacySuppressed,Urban
2539100.0,Brightwood College-Los Angeles-Van Nuys,622.0,80.98%,$9414,Urban
124000.0,Modesto Junior College,16425.0,0.0%,PrivacySuppressed,Urban
2185800.0,Moler Barber College,206.0,57.3%,$9500,Urban
369110.0,Middlebury Institute of International Studies at Monterey,13.0,54.55%,$13625,Suburb
124200.0,Monterey Peninsula College,6856.0,1.74%,PrivacySuppressed,Suburb
711500.0,Moorpark College,13378.0,1.63%,$9500,Suburb
124500.0,Mt San Antonio College,26865.0,0.76%,$4500,Suburb
124300.0,Mount Saint Mary's University,2575.0,85.06%,$26000,Urban
124600.0,Mt San Jacinto Community College District,14620.0,0.0%,PrivacySuppressed,Suburb
2161800.0,Musicians Institute,924.0,30.37%,PrivacySuppressed,Urban
124700.0,Napa Valley College,5237.0,1.2%,$10000,Urban
2542300.0,National Holistic Institute,954.0,80.41%,$9500,Suburb
1146000.0,National University,7360.0,10.58%,$28244,Urban
3043900.0,Newschool of Architecture and Design,432.0,57.25%,$35500,Urban
713000.0,Newberry School of Beauty,134.0,43.48%,$6333,Urban
718700.0,North Adrian's College of Beauty Inc,177.0,39.86%,$11850,Urban
1287200.0,North-West College-Pomona,302.0,90.08%,$9500,Suburb
1170700.0,North-West College-West Covina,635.0,72.33%,$9310,Suburb
2591600.0,North-West College-Van Nuys,166.0,92.86%,$9500,Urban
117900.0,Notre Dame de Namur University,924.0,70.47%,$25000,Suburb
124900.0,Occidental College,1958.0,44.9%,$23215,Urban
448100.0,Ohlone College,8026.0,0.8%,PrivacySuppressed,Suburb
125000.0,Orange Coast College,20968.0,2.62%,$6500,Urban
125100.0,Otis College of Art and Design,1056.0,53.96%,$27000,Urban
1284200.0,Oxnard College,6809.0,0.0%,PrivacySuppressed,Urban
125200.0,Hope International University,727.0,69.72%,$25624.5,Suburb
793000.0,Concorde Career College-San Diego,581.0,60.11%,$9500,Urban
2138300.0,Palo Alto University,125.0,63.06%,$18324,Rural
125500.0,Pacific Oaks College,467.0,82.38%,$22545,Urban
3163300.0,Pacific States University,8.0,0.0%,PrivacySuppressed,Urban
125800.0,Pacific Union College,1181.0,72.6%,$29251,Rural
