business_name,business_postal_code,inspection_date,month,day,inspection_score,risk_category
Dynamo Donut and Coffee,94123,2016-09-09,9,9,96.0,Low Risk
Lou's Cafe,94118,2017-09-15,9,15,78.0,Moderate Risk
Dojima-Ann,94102,2017-10-23,10,23,96.0,Low Risk
SUNFLOWER RESTAURANT,94103,2019-03-27,3,27,46.0,High Risk
Golden Star Vietnamese Restaurant,94108,2019-07-23,7,23,90.0,Moderate Risk
Bellota,94103,2017-10-10,10,10,85.0,Moderate Risk
Ted's Sports Bar & Grill,94103,2017-01-09,1,9,78.0,Moderate Risk
China Fun Express,94108,2019-02-14,2,14,87.0,Moderate Risk
Fisherman's Pizzeria Inc [#50],94133,2018-07-11,7,11,90.0,Low Risk
TURO CAFE AND GRILL LLC,94112,2019-08-14,8,14,81.0,Moderate Risk
Hikari Kaiten Train Sushi & Bar,94115,2018-08-22,8,22,90.0,Low Risk
Liang's Food,94133,2017-02-28,2,28,82.0,Moderate Risk
BURGERMEISTER,94114,2017-01-05,1,5,86.0,Moderate Risk
Buckhorn Grill,94103,2018-12-18,12,18,88.0,Low Risk
Curbside Cafe,94115,2018-02-01,2,1,85.0,Low Risk
Indochine 508,94112,2018-01-19,1,19,80.0,Moderate Risk
Kushi Tsuru,94115,2018-04-26,4,26,73.0,High Risk
Tofu Village,94122,2017-12-14,12,14,88.0,Low Risk
India Clay Oven Restaurant and Bar,94121,2018-07-26,7,26,88.0,Low Risk
TEA FM,94132,2019-06-14,6,14,69.0,High Risk
RUSSIAN CENTER SOCIAL HALL,94115,2019-07-10,7,10,92.0,Moderate Risk
Jack In The Box #545,94102,2016-11-14,11,14,87.0,Low Risk
Dragon Beaux,94121,2019-04-02,4,2,86.0,Low Risk
K-OZ Restaurant Brewery,94103,2019-05-21,5,21,87.0,Low Risk
Iza Ramen,94117,2018-11-27,11,27,86.0,Moderate Risk
Akiba,94121,2018-11-15,11,15,96.0,Low Risk
STARBUCKS COFFEE #5486,94105,2016-09-16,9,16,92.0,Low Risk
Beluga Restaurant,94121,2018-07-05,7,5,94.0,Low Risk
HAPPY LAMB HOT POT,94102,2019-01-31,1,31,88.0,Moderate Risk
El Rincon Yucateco,94102,2018-02-27,2,27,88.0,Low Risk
El Tepa,94110,2017-01-12,1,12,92.0,Low Risk
LA LOMA PRODUCE #7,94134,2017-04-13,4,13,77.0,Low Risk
Guang Dong Barbecue Tea House,94122,2017-11-29,11,29,75.0,Moderate Risk
Sushi Hunter,94133,2018-06-12,6,12,92.0,Low Risk
Vieni-Vieni,94133,2018-04-10,4,10,88.0,Moderate Risk
Uncle Joe,94116,2018-07-24,7,24,92.0,Moderate Risk
San Tung Restaurant LLC,94122,2018-02-08,2,8,88.0,Moderate Risk
Starbucks Coffee Co,94111,2017-05-03,5,3,91.0,Low Risk
BeanStalk,94108,2018-06-06,6,6,92.0,Low Risk
Tung Sing Restaurant,94114,2018-04-25,4,25,76.0,High Risk
Mollie Stone's Castro Market,94114,2017-08-08,8,8,86.0,Moderate Risk
Cafe Med,94104,2017-11-06,11,6,81.0,Low Risk
Haus Coffee,94110,2018-03-19,3,19,94.0,Low Risk
Perry's Embarcadero,94105,2019-06-27,6,27,83.0,Low Risk
Kara's Cupcakes,94123,2018-01-12,1,12,92.0,Low Risk
LA SANTANECA DE LA MISSION,94110,2018-04-17,4,17,96.0,Moderate Risk
Blue Fin Sushi & Lounge,94121,2019-06-18,6,18,80.0,Moderate Risk
LA CUMBRE,94110,2017-06-28,6,28,80.0,Moderate Risk
TAQUERIA EL FAROLITO NO. 2,94112,2018-01-25,1,25,85.0,Low Risk
Pork Store Cafe Valencia,94103,2018-07-23,7,23,80.0,High Risk
Soma Pizza,94107,2018-06-05,6,5,76.0,Low Risk
AK SUBS,94103,2017-07-24,7,24,85.0,Low Risk
Safeway Store #4601,94111,2017-05-01,5,1,90.0,Moderate Risk
King Kee,94102,2019-03-07,3,7,90.0,Low Risk
7 Eleven #2366-36486H,94111,2018-05-11,5,11,86.0,Low Risk
Sheraton Fisherman's Wharf Hotel,94133,2018-11-30,11,30,90.0,Low Risk
Aux Delices Vietnam,94109,2018-02-23,2,23,77.0,Moderate Risk
PEKING WOK RESTAURANT,94124,2016-09-19,9,19,100.0,Moderate Risk
Slurp Noodle Bar,94114,2019-04-04,4,4,78.0,Low Risk
Utopia Cafe,94108,2018-12-26,12,26,64.0,High Risk
KIPP Bayview Academy,94124,2018-03-20,3,20,96.0,Moderate Risk
Horizon Restaurant,94133,2016-10-28,10,28,85.0,Low Risk
Hing Wang Bakery,94122,2019-04-08,4,8,83.0,Moderate Risk
El Chico Produce Market #2,94112,2017-05-02,5,2,76.0,Moderate Risk
Curry Up Now,94110,2019-05-02,5,2,92.0,Low Risk
Carbon Grill,94118,2019-07-10,7,10,81.0,Low Risk
HD Rice Noodles,94122,2018-04-24,4,24,81.0,Moderate Risk
94939 Gilroy Garlic,94107,2018-03-26,3,26,94.0,Moderate Risk
Mixt Greens/Mixt,94105,2019-03-19,3,19,87.0,Moderate Risk
Wicked Grounds,94103,2017-03-14,3,14,94.0,Low Risk
"Espetus Churrascaria, Inc.",94102,2016-11-29,11,29,90.0,Moderate Risk
STARBUCKS COFFEE,94132,2017-07-12,7,12,92.0,Low Risk
Lee's Deli,94111,2019-01-30,1,30,81.0,Low Risk
Paprika,94110,2018-07-25,7,25,90.0,Low Risk
Silver Star Cafe & Deli,94111,2018-06-18,6,18,92.0,Low Risk
Taqueria Dos Charros,94132,2018-04-05,4,5,96.0,Low Risk
Shalimar Restaurant,94102,2016-11-18,11,18,83.0,Low Risk
DON CHUYS MEXI-MERCADO,94112,2017-05-10,5,10,94.0,Moderate Risk
JANNAH,94117,2017-11-15,11,15,76.0,Moderate Risk
Sanchez School,94114,2016-09-06,9,6,96.0,Moderate Risk
Suchada Thai Massage,94114,2017-09-14,9,14,92.0,Moderate Risk
Akiko's Sushi Bar,94102,2016-11-03,11,3,85.0,Moderate Risk
Holiday Inn ExpressHotel - Pantry Kitchen,94133,2018-07-16,7,16,98.0,Low Risk
Cafe Med,94104,2017-11-06,11,6,81.0,Moderate Risk
BAY VIEW BOAT CLUB,94107,2016-12-05,12,5,90.0,Low Risk
Fruity Moto,94130,2019-02-23,2,23,96.0,Low Risk
Sur La Table,94123,2018-02-08,2,8,81.0,Low Risk
Andrea's Bakery,94112,2017-10-25,10,25,65.0,Moderate Risk
"Cost Plus, Inc",94133,2018-07-05,7,5,98.0,Low Risk
Jang Soo BBQ,94121,2016-12-02,12,2,90.0,Moderate Risk
Peet's Coffee & Tea,94102,2018-05-04,5,4,98.0,Low Risk
Colibri Mexican Bistro,94102,2017-10-23,10,23,96.0,Low Risk
Jake's Steaks,94123,2018-11-07,11,7,87.0,High Risk
ONE MARKET RESTAURANT,94105,2016-11-18,11,18,78.0,Moderate Risk
Tekka House,94131,2018-05-03,5,3,85.0,Low Risk
Subway,94102,2017-08-31,8,31,94.0,Low Risk
Derm Restaurant,94118,2018-07-05,7,5,81.0,Moderate Risk
NOOSH,94115,2019-04-03,4,3,96.0,Low Risk
Yama Sushi Restaurant,94112,2018-05-22,5,22,81.0,Low Risk
Takara Sushi S.F. INC,94114,2018-10-17,10,17,84.0,Moderate Risk
AT&T - PANTRY/WALK-IN BOX/suite [145163],94107,2017-04-24,4,24,90.0,Moderate Risk
Castagnola's Restaurant,94133,2019-02-12,2,12,90.0,Moderate Risk
Specialty's Cafe & Bakery,94105,2018-05-04,5,4,90.0,Moderate Risk
EL FARO,94110,2019-05-08,5,8,89.0,Low Risk
UVA Enoteca,94117,2018-10-03,10,3,89.0,Moderate Risk
Starbucks Coffee,94102,2017-02-06,2,6,98.0,Low Risk
L & L Hawaiian Barbecue,94108,2018-11-08,11,8,87.0,Low Risk
Bruno's Pizza & Restaurant,94115,2018-07-18,7,18,79.0,Low Risk
NOVY,94114,2018-04-30,4,30,92.0,Low Risk
Mason Street Deli and Market,94102,2018-06-04,6,4,96.0,Low Risk
Deena's Market and Smoke Shop,94109,2018-03-14,3,14,88.0,Moderate Risk
Chowder Hut,94133,2018-06-11,6,11,94.0,Low Risk
Portico IV,94104,2017-11-20,11,20,82.0,Moderate Risk
Amici's East Coast Pizzeria,94123,2016-11-18,11,18,96.0,Moderate Risk
Mizutani Sushi Bar,94118,2018-05-14,5,14,82.0,Moderate Risk
SUPPENKUCHE,94102,2017-04-19,4,19,86.0,Moderate Risk
Kuma Sushi + Sake,94109,2019-04-25,4,25,96.0,Moderate Risk
"Le Soleil International Holdings, Inc",94118,2019-05-23,5,23,75.0,High Risk
LA TORTILLA,94114,2018-06-20,6,20,74.0,High Risk
Cafe Terminus,94111,2019-07-16,7,16,85.0,Low Risk
EL FARO,94110,2019-05-08,5,8,89.0,High Risk
"New Garden Restaurant, Inc.",94108,2016-11-21,11,21,57.0,Moderate Risk
MANSION ON SUTTER,94109,2019-03-15,3,15,89.0,High Risk
Brioche Bakery & Cafe,94133,2019-01-31,1,31,88.0,Low Risk
SABA LIVE POULTRY 2 INC.,94124,2019-05-10,5,10,76.0,Moderate Risk
Mugizo,94115,2018-06-19,6,19,74.0,Moderate Risk
SAFEWAY #739,94110,2017-06-19,6,19,80.0,Low Risk
AFC Sushi @ Safeway 4601,94111,2017-05-01,5,1,96.0,Moderate Risk
Milkbomb Ice Cream,94107,2018-06-15,6,15,94.0,Low Risk
SHERMAN MARKET,94123,2017-10-06,10,6,90.0,Low Risk
The White Horse,94102,2017-09-21,9,21,98.0,Low Risk
Peet's Coffee & Tea,94105,2017-12-13,12,13,92.0,Moderate Risk
Peet's Coffee & Tea,94117,2018-12-12,12,12,90.0,Moderate Risk
Pause,94102,2018-11-27,11,27,92.0,Low Risk
Paramo Coffee,94111,2016-12-28,12,28,94.0,Low Risk
New Jumbo Seafood Restaurant,94122,2019-01-23,1,23,57.0,Low Risk
BUFFALO BURGERS RESTAURANT,94121,2019-02-15,2,15,87.0,Low Risk
Muskaan Cuisine of India,94105,2017-03-31,3,31,96.0,Moderate Risk
The Monk's Kettle,94103,2016-08-23,8,23,96.0,Moderate Risk
La Spot,94132,2018-04-19,4,19,86.0,Low Risk
Souvla Catering,94103,2019-07-15,7,15,85.0,Moderate Risk
AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480],94107,2019-04-12,4,12,96.0,Moderate Risk
"Subs, Inc.",94114,2018-07-17,7,17,84.0,High Risk
Wise Sons Deli,94110,2017-07-25,7,25,96.0,Moderate Risk
"Binis Kitchen, LLC",94104,2018-01-30,1,30,94.0,Moderate Risk
Dar Bar Pakistani/Indian Cusine,94109,2018-05-21,5,21,85.0,Low Risk
BLUE FRONT DELI,94117,2017-01-18,1,18,90.0,Moderate Risk
Shanghai Dumpling King 2,94127,2016-10-05,10,5,86.0,Moderate Risk
Toast Eatery SF,94109,2017-08-30,8,30,87.0,Low Risk
VENICE PIZZA AND RESTAURANT,94112,2019-01-28,1,28,86.0,Low Risk
"Sodexo America, LLC # 42422001",94105,2019-05-07,5,7,90.0,Low Risk
McDonald's,94110,2017-08-08,8,8,94.0,Low Risk
Wako Restaurant,94118,2018-08-31,8,31,94.0,Moderate Risk
BREAD & BUTTER MARKET,94109,2017-12-19,12,19,88.0,Moderate Risk
Chowders,94133,2017-01-24,1,24,98.0,Low Risk
Marina Theatre,94123,2018-05-02,5,2,82.0,Moderate Risk
Blue Fin Sushi & Lounge,94121,2016-10-11,10,11,71.0,High Risk
Gold Coin Trading Co,94133,2017-11-17,11,17,82.0,Low Risk
Kara's Cupcakes,94123,2018-01-12,1,12,92.0,Low Risk
Venga Empanadas,94103,2019-04-09,4,9,91.0,Low Risk
Daily Grill,94102,2019-07-25,7,25,74.0,High Risk
MAI MAI SANDWICH & BAKERY,94118,2018-09-04,9,4,94.0,Low Risk
McDonald's,94112,2017-03-14,3,14,92.0,Low Risk
Haight Street Market,92672,2017-02-22,2,22,87.0,High Risk
K-Elements BBQ,94121,2019-04-03,4,3,94.0,Low Risk
Lee's Deli,94104,2019-07-22,7,22,77.0,Moderate Risk
The Family,94108,2017-01-27,1,27,87.0,Low Risk
Alba Ray's,94110,2018-04-30,4,30,88.0,Moderate Risk
KING'S BAKERY,94110,2018-10-24,10,24,89.0,Low Risk
Upstairs Bar,94103,2017-11-13,11,13,94.0,Low Risk
Cafe Meuse,94109,2018-01-02,1,2,83.0,Moderate Risk
DONA TERE'S MARKET,94110,2017-11-27,11,27,83.0,Moderate Risk
Herlen Place,94108,2018-02-06,2,6,90.0,Moderate Risk
"Dong Hing, LLC",94133,2017-05-09,5,9,77.0,Moderate Risk
Henry's Hunan Restaurant,94103,2019-05-08,5,8,88.0,Moderate Risk
STARBUCKS,94102,2019-05-08,5,8,88.0,Low Risk
Dolce Amore,94109,2016-10-20,10,20,92.0,Moderate Risk
Burmese Kitchen,94118,2017-10-19,10,19,79.0,Moderate Risk
LOS PANCHOS,94110,2017-10-23,10,23,91.0,Low Risk
CAFE MADELEINE,94105,2018-06-22,6,22,75.0,High Risk
The Blue Light,94123,2017-05-26,5,26,74.0,Low Risk
WALKING FISH,94117,2019-05-07,5,7,98.0,Low Risk
ORPHAN ANDY'S,94114,2018-08-27,8,27,90.0,Low Risk
Hong's Kitchen,94122,2019-08-05,8,5,77.0,Moderate Risk
The White Horse,94102,2016-12-16,12,16,76.0,Moderate Risk
YUMMY YUMMY VIETNAMESE RESTAURANT,94122,2019-01-07,1,7,79.0,Moderate Risk
Best Beverage Catering,94102,2017-11-14,11,14,90.0,Moderate Risk
Ly's Vietnamese Cuisine,94123,2017-09-18,9,18,78.0,Moderate Risk
Bibimbar,94104,2019-05-21,5,21,83.0,Moderate Risk
Peninsula Seafood Restaurant,94133,2017-11-30,11,30,78.0,Moderate Risk
GUARDINO'S SOUVENIR & GIFT SHOP,94133,2018-01-30,1,30,96.0,Low Risk
Papito West,94102,2018-05-21,5,21,85.0,Moderate Risk
Curry Leaf,94133,2018-04-10,4,10,90.0,Moderate Risk
Morty's Delicatessen,94102,2018-12-20,12,20,87.0,High Risk
Mi Ranchito Produce,94110,2017-10-30,10,30,89.0,Moderate Risk
Bluestone Lane,94111,2017-12-21,12,21,83.0,Low Risk
Golden Wok,94132,2017-07-20,7,20,61.0,Low Risk
JIM GEORGIE'S DONUT,94103,2017-01-05,1,5,80.0,Low Risk
HIGHER GROUNDS,94131,2019-07-02,7,2,96.0,Low Risk
"LA MEDITERRANEE I, INC.",94115,2019-03-12,3,12,96.0,Low Risk
Boudin Restaurant,94133,2018-04-26,4,26,90.0,Low Risk
Sun Sun Trading co.,94133,2018-05-03,5,3,96.0,Low Risk
Nara Sushi,94109,2018-04-16,4,16,89.0,Moderate Risk
The Fillmore,94115,2018-11-20,11,20,98.0,Low Risk
SAN BRUNO SUPERMARKET,94134,2018-12-03,12,3,73.0,Low Risk
SUNSET SUPER,94116,2019-06-26,6,26,84.0,Low Risk
ORIENTAL SEAFOOD RESTAURANT,94122,2017-11-15,11,15,76.0,Moderate Risk
Silver Market Inc.,94134,2019-07-11,7,11,74.0,Moderate Risk
Wing Lee BBQ Restaurant,94118,2018-06-11,6,11,86.0,Low Risk
ART'S CAFE,94122,2018-02-16,2,16,94.0,Moderate Risk
Fuji Restaurant,94127,2018-05-10,5,10,63.0,Moderate Risk
MARTHA & BROS COFFEE CO,94110,2018-02-12,2,12,94.0,Low Risk
DELFINA RESTAURANT,94110,2019-08-15,8,15,92.0,Moderate Risk
KING OF THAI NOODLE HOUSE,94118,2018-05-16,5,16,81.0,Low Risk
La Loma Produce #8,94110,2018-02-28,2,28,84.0,Low Risk
Jane,94109,2018-05-15,5,15,85.0,Low Risk
CANTON DIM SUM HOUSE,94107,2018-02-08,2,8,77.0,High Risk
Sushi on North Beach,94133,2018-12-11,12,11,82.0,Moderate Risk
L & L Hawaiian Barbecue,94108,2017-09-25,9,25,90.0,Moderate Risk
A&M LIQUOR,94109,2016-10-26,10,26,96.0,Moderate Risk
Christopher Elbow Chocolates,94102,2018-07-20,7,20,96.0,Moderate Risk
The Sunset's Best Seafood Restaurant,94116,2018-07-12,7,12,74.0,Moderate Risk
Oyaji Restaurant,94121,2018-07-24,7,24,81.0,High Risk
Manzoni,94131,2016-09-29,9,29,92.0,Moderate Risk
Hole in the Wall Coffee,94133,2017-05-26,5,26,86.0,Low Risk
Miller's East Coast Deli,94109,2018-01-31,1,31,87.0,High Risk
Cafe Prague,94111,2016-12-06,12,6,68.0,Moderate Risk
Ella's Cafe,94115,2019-03-15,3,15,75.0,Low Risk
RAOUL WALLENBERG HIGH SCHOOL,94115,2018-02-27,2,27,94.0,Moderate Risk
Miyabiya Sushi and Grill,94102,2019-02-25,2,25,82.0,Low Risk
Delicioso Creperie,94103,2018-04-30,4,30,85.0,Moderate Risk
Tart To Tart Inc.,94122,2018-03-01,3,1,73.0,Low Risk
Penang Garden  Restaurant,94108,2017-11-28,11,28,90.0,Moderate Risk
Old Skool Cafe,94124,2017-01-26,1,26,90.0,Low Risk
Starbucks,94133,2019-07-03,7,3,96.0,Low Risk
The Italian Homemade Company,94123,2018-08-28,8,28,87.0,Low Risk
Naples Pizzarella,94112,2016-08-31,8,31,92.0,Moderate Risk
CINDERELLA BAKERY & CAFE,94118,2016-08-29,8,29,92.0,Moderate Risk
Pacific Eatery,94109,2019-07-22,7,22,80.0,Low Risk
Live Oak School,94107,2018-11-14,11,14,88.0,Moderate Risk
Mama Ji's,94114,2018-06-27,6,27,90.0,Moderate Risk
Bai Som Thai Kitchen,94121,2019-02-20,2,20,85.0,Moderate Risk
The Sentinel,94104,2018-04-24,4,24,90.0,Low Risk
Roadhouse Cafe,94124,2018-07-31,7,31,78.0,Moderate Risk
I'A Poke,94114,2019-07-29,7,29,88.0,Low Risk
China Express Deli,94110,2016-11-07,11,7,76.0,Moderate Risk
FLORIO,94115,2019-03-04,3,4,86.0,Low Risk
Hustler Club,94133,2017-07-07,7,7,94.0,Low Risk
VENUS CAFE,94118,2019-07-11,7,11,88.0,Low Risk
Paparikas,94111,2017-02-24,2,24,86.0,Moderate Risk
Easy Breezy Frozen Yogurt,94127,2019-05-09,5,9,92.0,Moderate Risk
Pakwan Restaurant,94103,2018-08-28,8,28,70.0,Moderate Risk
Lime Tree,94118,2019-06-06,6,6,87.0,Low Risk
Little Szechuan,94133,2017-07-05,7,5,98.0,Low Risk
Waterbar,94105,2018-04-25,4,25,92.0,Low Risk
VANIDA THAI KITCHEN,94116,2017-07-26,7,26,65.0,Moderate Risk
Paprika,94110,2018-07-25,7,25,90.0,Moderate Risk
EDEN PLAZA CAFE,94107,2019-03-26,3,26,58.0,High Risk
City Discount Meat & Grocery Market,94110,2018-04-03,4,3,74.0,Low Risk
Zero Zero,94107,2016-09-01,9,1,90.0,Low Risk
Dim Sum Club,94109,2018-01-08,1,8,68.0,Moderate Risk
La Fromagerie,94101,2017-02-15,2,15,87.0,High Risk
KIMOCHI HOME,94115,2018-06-13,6,13,96.0,Moderate Risk
Street Taco,94103,2018-04-18,4,18,86.0,Low Risk
Events Management @ de Young Museum,94118,2019-01-09,1,9,85.0,High Risk
6001 California Market,94121,2017-08-03,8,3,73.0,Moderate Risk
BILLIARD PALACADE,94112,2017-12-14,12,14,98.0,Low Risk
Black Cat,94109,2017-01-30,1,30,88.0,Moderate Risk
CAFE MARS,94103,2019-01-30,1,30,90.0,Low Risk
GEORGE WASHINGTON HIGH SCHOOL,94121,2018-12-19,12,19,94.0,Moderate Risk
Sweet Lime Inc.,94115,2019-03-11,3,11,90.0,Moderate Risk
Cafe Guatemalteco,94112,2018-05-21,5,21,89.0,Low Risk
Herbst Theater C&M,94102,2018-03-19,3,19,93.0,High Risk
Buffalo Kitchen,94134,2019-04-17,4,17,75.0,Low Risk
5th Avenue Deli & Market,94111,2016-12-07,12,7,84.0,Moderate Risk
Pampanguena Cuisine,94112,2019-05-23,5,23,90.0,Moderate Risk
"Tokyo Katana-Ya, LLC",94102,2017-12-05,12,5,78.0,Low Risk
Grant Place Restaurant,94108,2017-11-29,11,29,92.0,Low Risk
Ace King BBQ,94121,2018-07-17,7,17,75.0,Moderate Risk
LA TORTILLA,94114,2016-11-29,11,29,86.0,Low Risk
Vietnam House,94109,2017-02-22,2,22,75.0,High Risk
HARVEY MILK ELEMENTARY SCHOOL,94114,2017-03-23,3,23,98.0,Low Risk
Paris Pizza,94133,2018-06-22,6,22,90.0,Low Risk
Boudin Bakery & Cafe,94133,2018-10-04,10,4,98.0,Low Risk
"OPERA HOUSE - BASEMENT,LOWER LOUNGE",94102,2018-04-23,4,23,89.0,High Risk
Tower Burger,94127,2017-09-13,9,13,75.0,Low Risk
La Oaxaquena Bakery and Restaurant,94110,2018-02-07,2,7,77.0,High Risk
Jang Soo BBQ,94121,2019-04-03,4,3,83.0,Moderate Risk
Amphawa Thai Noodle House,94122,2018-08-22,8,22,80.0,High Risk
Sodini's Restaurant,94133,2018-06-11,6,11,81.0,Moderate Risk
Empero Taste,94121,2018-06-25,6,25,75.0,Low Risk
Cafe Bakery,94122,2016-08-29,8,29,90.0,Moderate Risk
The Spice Jar,94110,2017-10-25,10,25,82.0,High Risk
Mint,94102,2017-01-06,1,6,88.0,Moderate Risk
Pompei's Grotto,94133,2019-02-25,2,25,92.0,Low Risk
TAQUERIA CAN-CUN,94110,2017-11-06,11,6,80.0,Low Risk
LA VICTORIA BAKERY,94110,2016-09-06,9,6,78.0,Low Risk
DELANCEY ST. RESTAURANT,94107,2016-08-23,8,23,70.0,Low Risk
Lapisara Eatery,94109,2019-07-24,7,24,96.0,Moderate Risk
Mochica,94107,2017-01-24,1,24,76.0,Low Risk
"Connection, The",94112,2017-10-02,10,2,92.0,Moderate Risk
Mediterrean Food,94122,2017-11-01,11,1,90.0,Low Risk
BAYVIEE HUNTER Pt. ADULT DAY HE,94124,2018-07-18,7,18,94.0,Low Risk
City Discount Meat & Grocery Market,94110,2018-04-03,4,3,74.0,High Risk
Ly's Vietnamese Cuisine,94123,2017-09-18,9,18,78.0,Low Risk
Sauce Belden,94104,2017-10-12,10,12,78.0,High Risk
Rico Pan,94112,2016-10-05,10,5,81.0,Moderate Risk
S & E Cafe,94116,2018-06-18,6,18,75.0,Low Risk
Rock Japanese Cuisine,94108,2018-04-25,4,25,84.0,Low Risk
Focaccia Market Bakery,94111,2019-04-25,4,25,79.0,High Risk
Marina Meats Inc.,94123,2016-12-09,12,9,90.0,Moderate Risk
Chaat Corner,94107,2018-10-01,10,1,54.0,Moderate Risk
"Keep It, Inc.",94108,2019-01-07,1,7,80.0,Moderate Risk
17th & Noe Market,94114,2017-10-11,10,11,96.0,Moderate Risk
La Boulangerie De San Francisco,94114,2018-05-29,5,29,89.0,High Risk
Manila Bowl,94103,2019-03-06,3,6,92.0,Moderate Risk
360 Gourmet Burrito,94104,2019-04-17,4,17,90.0,Low Risk
Heritage,94118,2019-02-28,2,28,91.0,High Risk
Elixiria,94105,2017-06-27,6,27,96.0,Moderate Risk
R. Image Market,94110,2019-05-01,5,1,88.0,Low Risk
La Torta Gorda,94110,2019-04-05,4,5,84.0,Low Risk
Bun Mee,94104,2017-12-28,12,28,81.0,Low Risk
IKU Sushi,94104,2018-05-10,5,10,88.0,Moderate Risk
Saabis Groceries,94124,2018-11-05,11,5,84.0,Low Risk
Pho Express,94104,2018-06-04,6,4,77.0,High Risk
"Music Hall, LLC dba Great American Music Hall",94109,2019-04-23,4,23,83.0,Low Risk
"Thumbtack, Inc",94103,2019-06-12,6,12,96.0,Low Risk
TENNESSEE GRILL INC,94116,2018-12-06,12,6,81.0,High Risk
Beeps Burgers,94112,2017-08-08,8,8,98.0,Low Risk
MORNING DUE,94104,2018-08-09,8,9,86.0,Low Risk
Ming Kee Restaurant,94112,2019-02-25,2,25,79.0,Moderate Risk
Holiday Inn - Golden Gateway,94109,2017-07-31,7,31,70.0,Low Risk
LATTE EXPRESS,94107,2019-05-29,5,29,90.0,Moderate Risk
BK11852,94103,2017-12-06,12,6,77.0,Moderate Risk
Souvla,94110,2018-06-19,6,19,87.0,Low Risk
Kio Ramen,94121,2017-10-24,10,24,90.0,Low Risk
Pi Bar,94110,2019-03-25,3,25,98.0,Low Risk
Slanted Door Restaurant,94111,2018-06-15,6,15,87.0,High Risk
Yoppi Yogurt,94111,2018-05-23,5,23,94.0,Low Risk
Coffeeshop - 3139 Mission,94110,2018-04-16,4,16,92.0,Moderate Risk
Wok In China Express,94112,2019-08-07,8,7,86.0,Low Risk
Yemen Cafe & Restaurant,94109,2018-06-18,6,18,86.0,Moderate Risk
Roadhouse Cafe,94124,2018-07-31,7,31,78.0,Moderate Risk
John's Grill,94102,2018-04-03,4,3,90.0,Low Risk
The Sycamore,94110,2018-07-10,7,10,94.0,Moderate Risk
Lahore Karahi,94109,2018-08-13,8,13,78.0,High Risk
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,94112,2017-01-31,1,31,90.0,Low Risk
Burger King #4474,94102,2017-06-20,6,20,77.0,Moderate Risk
Coffeeshop - 3139 Mission,94110,2018-04-16,4,16,92.0,Low Risk
WORKING GIRLS' CAFE III,94105,2019-06-27,6,27,88.0,Moderate Risk
The Station,94133,2019-07-25,7,25,98.0,Low Risk
Ninki Sushi Bar & Restaurant,94116,2017-08-24,8,24,78.0,High Risk
PRESIDIO THEATRE,94123,2018-05-02,5,2,96.0,Low Risk
Evergreen Garden Restaurant,94110,2017-01-23,1,23,81.0,Moderate Risk
AUTO CITY Food Mart,94110,2017-01-11,1,11,80.0,High Risk
