Date,Year,Month,Day,Average Price,Total Volume,Type,Region
2015-11-22,2015,11,22,1.0,356415.0,conventional,Atlanta
2015-11-15,2015,11,15,1.13,339861.0,conventional,Atlanta
2015-11-08,2015,11,8,1.12,334042.0,conventional,Atlanta
2015-11-01,2015,11,1,0.99,419089.0,conventional,Atlanta
2015-10-25,2015,10,25,1.09,358478.0,conventional,Atlanta
2015-10-18,2015,10,18,1.09,349072.0,conventional,Atlanta
2015-10-11,2015,10,11,0.95,433874.0,conventional,Atlanta
2015-10-04,2015,10,4,0.96,418682.0,conventional,Atlanta
2015-09-27,2015,9,27,1.07,370321.0,conventional,Atlanta
2015-09-20,2015,9,20,0.93,516433.0,conventional,Atlanta
2015-09-13,2015,9,13,1.07,417232.0,conventional,Atlanta
2015-09-06,2015,9,6,0.97,472137.0,conventional,Atlanta
2015-08-30,2015,8,30,1.15,382973.0,conventional,Atlanta
2015-08-23,2015,8,23,1.12,379054.0,conventional,Atlanta
2015-08-16,2015,8,16,1.09,465214.0,conventional,Atlanta
2015-08-09,2015,8,9,1.01,503792.0,conventional,Atlanta
2015-08-02,2015,8,2,1.15,405898.0,conventional,Atlanta
2015-07-26,2015,7,26,1.08,437378.0,conventional,Atlanta
2015-07-19,2015,7,19,0.97,557213.0,conventional,Atlanta
2015-07-12,2015,7,12,1.14,407205.0,conventional,Atlanta
2015-07-05,2015,7,5,1.01,562462.0,conventional,Atlanta
2015-06-28,2015,6,28,1.13,435211.0,conventional,Atlanta
2015-06-21,2015,6,21,0.99,554764.0,conventional,Atlanta
2015-06-14,2015,6,14,1.1,465805.0,conventional,Atlanta
2015-06-07,2015,6,7,0.99,551009.0,conventional,Atlanta
2015-05-31,2015,5,31,1.1,454702.0,conventional,Atlanta
2015-05-24,2015,5,24,0.96,623212.0,conventional,Atlanta
2015-05-17,2015,5,17,1.11,451251.0,conventional,Atlanta
2015-05-10,2015,5,10,1.1,480071.0,conventional,Atlanta
2015-05-03,2015,5,3,1.0,634213.0,conventional,Atlanta
2015-04-26,2015,4,26,1.12,448597.0,conventional,Atlanta
2015-04-19,2015,4,19,1.12,430966.0,conventional,Atlanta
2015-04-12,2015,4,12,0.99,451102.0,conventional,Atlanta
2015-04-05,2015,4,5,1.04,383139.0,conventional,Atlanta
2015-03-29,2015,3,29,1.11,365722.0,conventional,Atlanta
2015-03-22,2015,3,22,1.0,479591.0,conventional,Atlanta
2015-03-15,2015,3,15,1.12,399566.0,conventional,Atlanta
2015-03-08,2015,3,8,1.1,420826.0,conventional,Atlanta
2015-03-01,2015,3,1,0.99,512532.0,conventional,Atlanta
2015-02-22,2015,2,22,1.1,431309.0,conventional,Atlanta
2015-02-15,2015,2,15,1.06,427391.0,conventional,Atlanta
2015-02-08,2015,2,8,1.03,433884.0,conventional,Atlanta
2015-02-01,2015,2,1,0.96,636771.0,conventional,Atlanta
2015-01-25,2015,1,25,1.1,449333.0,conventional,Atlanta
2015-01-18,2015,1,18,1.11,431491.0,conventional,Atlanta
2015-01-11,2015,1,11,1.11,397543.0,conventional,Atlanta
2015-01-04,2015,1,4,1.0,435021.0,conventional,Atlanta
2015-12-27,2015,12,27,1.17,596819.0,conventional,BaltimoreWashington
2015-12-20,2015,12,20,1.11,642682.0,conventional,BaltimoreWashington
2015-12-13,2015,12,13,1.15,619509.0,conventional,BaltimoreWashington
2015-12-06,2015,12,6,1.04,649141.0,conventional,BaltimoreWashington
2015-11-29,2015,11,29,1.16,545800.0,conventional,BaltimoreWashington
2015-11-22,2015,11,22,1.12,572020.0,conventional,BaltimoreWashington
2015-11-15,2015,11,15,1.04,718330.0,conventional,BaltimoreWashington
2015-11-08,2015,11,8,1.05,830967.0,conventional,BaltimoreWashington
2015-11-01,2015,11,1,1.12,742221.0,conventional,BaltimoreWashington
2015-10-25,2015,10,25,1.19,656892.0,conventional,BaltimoreWashington
2015-10-18,2015,10,18,0.99,1005604.0,conventional,BaltimoreWashington
2015-10-11,2015,10,11,1.24,653560.0,conventional,BaltimoreWashington
2015-10-04,2015,10,4,1.28,657444.0,conventional,BaltimoreWashington
2015-09-27,2015,9,27,1.19,696282.0,conventional,BaltimoreWashington
2015-09-20,2015,9,20,1.17,709269.0,conventional,BaltimoreWashington
2015-09-13,2015,9,13,1.09,924994.0,conventional,BaltimoreWashington
2015-09-06,2015,9,6,1.18,823623.0,conventional,BaltimoreWashington
2015-08-30,2015,8,30,1.24,734721.0,conventional,BaltimoreWashington
2015-08-23,2015,8,23,1.16,783935.0,conventional,BaltimoreWashington
2015-08-16,2015,8,16,1.14,882755.0,conventional,BaltimoreWashington
2015-08-09,2015,8,9,1.16,821523.0,conventional,BaltimoreWashington
2015-08-02,2015,8,2,1.17,800603.0,conventional,BaltimoreWashington
2015-07-26,2015,7,26,1.2,772926.0,conventional,BaltimoreWashington
2015-07-19,2015,7,19,1.18,800194.0,conventional,BaltimoreWashington
2015-07-12,2015,7,12,1.1,850932.0,conventional,BaltimoreWashington
2015-07-05,2015,7,5,1.16,896299.0,conventional,BaltimoreWashington
2015-06-28,2015,6,28,1.15,862262.0,conventional,BaltimoreWashington
2015-06-21,2015,6,21,1.16,862841.0,conventional,BaltimoreWashington
2015-06-14,2015,6,14,1.09,955047.0,conventional,BaltimoreWashington
2015-06-07,2015,6,7,1.26,794310.0,conventional,BaltimoreWashington
2015-05-31,2015,5,31,1.19,949177.0,conventional,BaltimoreWashington
2015-05-24,2015,5,24,1.18,908662.0,conventional,BaltimoreWashington
2015-05-17,2015,5,17,1.27,790854.0,conventional,BaltimoreWashington
2015-05-10,2015,5,10,1.26,855206.0,conventional,BaltimoreWashington
2015-05-03,2015,5,3,1.17,896972.0,conventional,BaltimoreWashington
2015-04-26,2015,4,26,1.29,747841.0,conventional,BaltimoreWashington
2015-04-19,2015,4,19,1.28,762863.0,conventional,BaltimoreWashington
2015-04-12,2015,4,12,1.15,837630.0,conventional,BaltimoreWashington
2015-04-05,2015,4,5,1.29,688065.0,conventional,BaltimoreWashington
2015-03-29,2015,3,29,1.25,663677.0,conventional,BaltimoreWashington
2015-03-22,2015,3,22,1.1,808897.0,conventional,BaltimoreWashington
2015-03-15,2015,3,15,1.24,693698.0,conventional,BaltimoreWashington
2015-03-08,2015,3,8,1.26,657746.0,conventional,BaltimoreWashington
2015-03-01,2015,3,1,1.16,770115.0,conventional,BaltimoreWashington
2015-02-22,2015,2,22,1.11,749846.0,conventional,BaltimoreWashington
2015-02-15,2015,2,15,1.25,637319.0,conventional,BaltimoreWashington
2015-02-08,2015,2,8,1.09,844931.0,conventional,BaltimoreWashington
2015-02-01,2015,2,1,1.06,1007419.0,conventional,BaltimoreWashington
2015-01-25,2015,1,25,1.2,692934.0,conventional,BaltimoreWashington
2015-01-18,2015,1,18,1.23,657741.0,conventional,BaltimoreWashington
2015-01-11,2015,1,11,1.17,670232.0,conventional,BaltimoreWashington
2015-01-04,2015,1,4,1.08,788025.0,conventional,BaltimoreWashington
2015-12-27,2015,12,27,0.97,62910.0,conventional,Boise
2015-12-20,2015,12,20,1.03,57504.0,conventional,Boise
2015-12-13,2015,12,13,0.99,58461.0,conventional,Boise
2015-12-06,2015,12,6,0.71,95295.0,conventional,Boise
2015-11-29,2015,11,29,1.06,49069.0,conventional,Boise
2015-11-22,2015,11,22,1.09,52876.0,conventional,Boise
2015-11-15,2015,11,15,1.01,68648.0,conventional,Boise
2015-11-08,2015,11,8,1.11,55848.0,conventional,Boise
2015-11-01,2015,11,1,1.14,53586.0,conventional,Boise
2015-10-25,2015,10,25,1.11,59874.0,conventional,Boise
2015-10-18,2015,10,18,1.16,54191.0,conventional,Boise
2015-10-11,2015,10,11,0.94,80904.0,conventional,Boise
2015-10-04,2015,10,4,1.12,59496.0,conventional,Boise
2015-09-27,2015,9,27,0.99,64188.0,conventional,Boise
2015-09-20,2015,9,20,1.03,73953.0,conventional,Boise
2015-09-13,2015,9,13,1.08,64209.0,conventional,Boise
2015-09-06,2015,9,6,1.16,64465.0,conventional,Boise
2015-08-30,2015,8,30,1.19,60100.0,conventional,Boise
2015-08-23,2015,8,23,1.05,70774.0,conventional,Boise
2015-08-16,2015,8,16,1.12,64002.0,conventional,Boise
2015-08-09,2015,8,9,1.1,61287.0,conventional,Boise
2015-08-02,2015,8,2,1.07,67764.0,conventional,Boise
2015-07-26,2015,7,26,1.07,67826.0,conventional,Boise
2015-07-19,2015,7,19,1.09,63958.0,conventional,Boise
2015-07-12,2015,7,12,1.05,74678.0,conventional,Boise
2015-07-05,2015,7,5,1.15,85044.0,conventional,Boise
2015-06-28,2015,6,28,1.04,75280.0,conventional,Boise
2015-06-21,2015,6,21,1.06,81397.0,conventional,Boise
2015-06-14,2015,6,14,0.99,87608.0,conventional,Boise
2015-06-07,2015,6,7,1.12,80751.0,conventional,Boise
2015-05-31,2015,5,31,0.97,76689.0,conventional,Boise
2015-05-24,2015,5,24,1.03,83210.0,conventional,Boise
2015-05-17,2015,5,17,0.96,77988.0,conventional,Boise
2015-05-10,2015,5,10,1.06,95789.0,conventional,Boise
2015-05-03,2015,5,3,1.0,85467.0,conventional,Boise
2015-04-26,2015,4,26,0.96,88111.0,conventional,Boise
2015-04-19,2015,4,19,0.99,89695.0,conventional,Boise
2015-04-12,2015,4,12,1.19,66246.0,conventional,Boise
2015-04-05,2015,4,5,1.09,76704.0,conventional,Boise
2015-03-29,2015,3,29,0.98,74544.0,conventional,Boise
2015-03-22,2015,3,22,1.17,61419.0,conventional,Boise
2015-03-15,2015,3,15,1.0,65918.0,conventional,Boise
2015-03-08,2015,3,8,1.14,65350.0,conventional,Boise
2015-03-01,2015,3,1,1.06,75046.0,conventional,Boise
2015-02-22,2015,2,22,0.99,76836.0,conventional,Boise
2015-02-15,2015,2,15,1.14,61222.0,conventional,Boise
2015-02-08,2015,2,8,1.07,69971.0,conventional,Boise
2015-02-01,2015,2,1,0.91,113578.0,conventional,Boise
2015-01-25,2015,1,25,1.03,66069.0,conventional,Boise
2015-01-18,2015,1,18,1.08,62870.0,conventional,Boise
2015-01-11,2015,1,11,1.18,57356.0,conventional,Boise
2015-01-04,2015,1,4,1.01,80034.0,conventional,Boise
2015-12-27,2015,12,27,1.13,450816.0,conventional,Boston
2015-12-20,2015,12,20,1.07,489803.0,conventional,Boston
2015-12-13,2015,12,13,1.01,549946.0,conventional,Boston
2015-12-06,2015,12,6,1.02,488679.0,conventional,Boston
2015-11-29,2015,11,29,1.19,350560.0,conventional,Boston
2015-11-22,2015,11,22,1.07,466760.0,conventional,Boston
2015-11-15,2015,11,15,1.05,513739.0,conventional,Boston
2015-11-08,2015,11,8,1.04,641760.0,conventional,Boston
2015-11-01,2015,11,1,1.06,553097.0,conventional,Boston
2015-10-25,2015,10,25,1.02,534249.0,conventional,Boston
2015-10-18,2015,10,18,0.94,725296.0,conventional,Boston
2015-10-11,2015,10,11,1.14,485707.0,conventional,Boston
2015-10-04,2015,10,4,1.07,536479.0,conventional,Boston
2015-09-27,2015,9,27,1.07,553307.0,conventional,Boston
2015-09-20,2015,9,20,1.15,498640.0,conventional,Boston
2015-09-13,2015,9,13,1.03,655683.0,conventional,Boston
2015-09-06,2015,9,6,1.11,577775.0,conventional,Boston
2015-08-30,2015,8,30,1.13,526665.0,conventional,Boston
2015-08-23,2015,8,23,1.07,589471.0,conventional,Boston
2015-08-16,2015,8,16,1.15,565795.0,conventional,Boston
2015-08-09,2015,8,9,1.07,690517.0,conventional,Boston
2015-08-02,2015,8,2,1.17,571994.0,conventional,Boston
2015-07-26,2015,7,26,1.28,500234.0,conventional,Boston
2015-07-19,2015,7,19,1.18,597168.0,conventional,Boston
2015-07-12,2015,7,12,1.14,634516.0,conventional,Boston
2015-07-05,2015,7,5,1.27,582910.0,conventional,Boston
2015-06-28,2015,6,28,1.25,560495.0,conventional,Boston
2015-06-21,2015,6,21,1.24,543505.0,conventional,Boston
2015-06-14,2015,6,14,1.08,684346.0,conventional,Boston
2015-06-07,2015,6,7,1.25,562543.0,conventional,Boston
2015-05-31,2015,5,31,1.26,565161.0,conventional,Boston
2015-05-24,2015,5,24,1.14,633522.0,conventional,Boston
2015-05-17,2015,5,17,1.26,534489.0,conventional,Boston
2015-05-10,2015,5,10,1.14,625558.0,conventional,Boston
2015-05-03,2015,5,3,1.17,552369.0,conventional,Boston
2015-04-26,2015,4,26,1.28,465911.0,conventional,Boston
2015-04-19,2015,4,19,1.15,504620.0,conventional,Boston
2015-04-12,2015,4,12,1.26,408485.0,conventional,Boston
2015-04-05,2015,4,5,1.27,449818.0,conventional,Boston
2015-03-29,2015,3,29,1.19,453631.0,conventional,Boston
2015-03-22,2015,3,22,1.18,453173.0,conventional,Boston
2015-03-15,2015,3,15,1.25,417750.0,conventional,Boston
2015-03-08,2015,3,8,1.17,408404.0,conventional,Boston
2015-03-01,2015,3,1,1.11,485736.0,conventional,Boston
2015-02-22,2015,2,22,1.23,355432.0,conventional,Boston
2015-02-15,2015,2,15,1.2,399884.0,conventional,Boston
2015-02-08,2015,2,8,1.04,609985.0,conventional,Boston
2015-02-01,2015,2,1,1.22,490022.0,conventional,Boston
2015-01-25,2015,1,25,1.17,409344.0,conventional,Boston
2015-01-18,2015,1,18,1.23,401331.0,conventional,Boston
2015-01-11,2015,1,11,1.1,437772.0,conventional,Boston
2015-01-04,2015,1,4,1.02,491738.0,conventional,Boston
2015-12-27,2015,12,27,1.35,96233.0,conventional,BuffaloRochester
2015-12-20,2015,12,20,1.37,90868.0,conventional,BuffaloRochester
2015-12-13,2015,12,13,1.35,98473.0,conventional,BuffaloRochester
2015-12-06,2015,12,6,1.23,108458.0,conventional,BuffaloRochester
2015-11-29,2015,11,29,1.39,79973.0,conventional,BuffaloRochester
2015-11-22,2015,11,22,1.4,90242.0,conventional,BuffaloRochester
2015-11-15,2015,11,15,1.36,99704.0,conventional,BuffaloRochester
2015-11-08,2015,11,8,1.3,111039.0,conventional,BuffaloRochester
2015-11-01,2015,11,1,1.23,118541.0,conventional,BuffaloRochester
2015-10-25,2015,10,25,1.36,99555.0,conventional,BuffaloRochester
2015-10-18,2015,10,18,1.29,106084.0,conventional,BuffaloRochester
2015-10-11,2015,10,11,1.3,109154.0,conventional,BuffaloRochester
2015-10-04,2015,10,4,1.33,98900.0,conventional,BuffaloRochester
2015-09-27,2015,9,27,1.31,90746.0,conventional,BuffaloRochester
2015-09-20,2015,9,20,1.54,60624.0,conventional,BuffaloRochester
2015-09-13,2015,9,13,1.59,73043.0,conventional,BuffaloRochester
2015-09-06,2015,9,6,1.56,76140.0,conventional,BuffaloRochester
2015-08-30,2015,8,30,1.38,83731.0,conventional,BuffaloRochester
2015-08-23,2015,8,23,1.49,68953.0,conventional,BuffaloRochester
2015-08-16,2015,8,16,1.5,69798.0,conventional,BuffaloRochester
2015-08-09,2015,8,9,1.47,81830.0,conventional,BuffaloRochester
2015-08-02,2015,8,2,1.47,78163.0,conventional,BuffaloRochester
2015-07-26,2015,7,26,1.39,91825.0,conventional,BuffaloRochester
2015-07-19,2015,7,19,1.36,128846.0,conventional,BuffaloRochester
2015-07-12,2015,7,12,1.45,127351.0,conventional,BuffaloRochester
2015-07-05,2015,7,5,1.47,140414.0,conventional,BuffaloRochester
2015-06-28,2015,6,28,1.36,137247.0,conventional,BuffaloRochester
2015-06-21,2015,6,21,1.5,108655.0,conventional,BuffaloRochester
2015-06-14,2015,6,14,1.34,149377.0,conventional,BuffaloRochester
2015-06-07,2015,6,7,1.38,130908.0,conventional,BuffaloRochester
2015-05-31,2015,5,31,1.4,130841.0,conventional,BuffaloRochester
2015-05-24,2015,5,24,1.43,121943.0,conventional,BuffaloRochester
2015-05-17,2015,5,17,1.35,137050.0,conventional,BuffaloRochester
2015-05-10,2015,5,10,1.33,170547.0,conventional,BuffaloRochester
2015-05-03,2015,5,3,1.42,136772.0,conventional,BuffaloRochester
2015-04-26,2015,4,26,1.41,136964.0,conventional,BuffaloRochester
2015-04-19,2015,4,19,1.42,139613.0,conventional,BuffaloRochester
2015-04-12,2015,4,12,1.42,118173.0,conventional,BuffaloRochester
2015-04-05,2015,4,5,1.44,124146.0,conventional,BuffaloRochester
2015-03-29,2015,3,29,1.39,119891.0,conventional,BuffaloRochester
2015-03-22,2015,3,22,1.4,119903.0,conventional,BuffaloRochester
2015-03-15,2015,3,15,1.47,103413.0,conventional,BuffaloRochester
2015-03-08,2015,3,8,1.35,125725.0,conventional,BuffaloRochester
2015-03-01,2015,3,1,1.43,112364.0,conventional,BuffaloRochester
2015-02-22,2015,2,22,1.41,109547.0,conventional,BuffaloRochester
2015-02-15,2015,2,15,1.44,100207.0,conventional,BuffaloRochester
2015-02-08,2015,2,8,1.36,132760.0,conventional,BuffaloRochester
2015-02-01,2015,2,1,1.33,153920.0,conventional,BuffaloRochester
2015-01-25,2015,1,25,1.5,114053.0,conventional,BuffaloRochester
2015-01-18,2015,1,18,1.52,107040.0,conventional,BuffaloRochester
2015-01-11,2015,1,11,1.54,106221.0,conventional,BuffaloRochester
2015-01-04,2015,1,4,1.4,116253.0,conventional,BuffaloRochester
2015-12-27,2015,12,27,0.9,5040365.0,conventional,California
2015-12-20,2015,12,20,0.94,4695737.0,conventional,California
2015-12-13,2015,12,13,0.87,5259354.0,conventional,California
2015-12-06,2015,12,6,0.78,5775536.0,conventional,California
2015-11-29,2015,11,29,0.91,4575711.0,conventional,California
2015-11-22,2015,11,22,0.92,4804278.0,conventional,California
2015-11-15,2015,11,15,0.83,5755191.0,conventional,California
2015-11-08,2015,11,8,0.98,5148984.0,conventional,California
2015-11-01,2015,11,1,0.95,5830428.0,conventional,California
2015-10-25,2015,10,25,1.12,4592462.0,conventional,California
2015-10-18,2015,10,18,1.07,4999032.0,conventional,California
2015-10-11,2015,10,11,1.08,5063309.0,conventional,California
2015-10-04,2015,10,4,1.02,4943781.0,conventional,California
2015-09-27,2015,9,27,1.04,5216785.0,conventional,California
2015-09-20,2015,9,20,1.14,4759791.0,conventional,California
2015-09-13,2015,9,13,1.13,5106508.0,conventional,California
2015-09-06,2015,9,6,1.09,5806393.0,conventional,California
2015-08-30,2015,8,30,1.08,5647385.0,conventional,California
2015-08-23,2015,8,23,1.18,5193221.0,conventional,California
2015-08-16,2015,8,16,1.11,5616434.0,conventional,California
2015-08-09,2015,8,9,1.1,6232081.0,conventional,California
2015-08-02,2015,8,2,1.16,5428239.0,conventional,California
2015-07-26,2015,7,26,1.13,5557616.0,conventional,California
2015-07-19,2015,7,19,1.18,5225201.0,conventional,California
2015-07-12,2015,7,12,1.13,5451637.0,conventional,California
2015-07-05,2015,7,5,1.12,6718012.0,conventional,California
2015-06-28,2015,6,28,1.1,5641742.0,conventional,California
2015-06-21,2015,6,21,1.07,5952597.0,conventional,California
2015-06-14,2015,6,14,0.97,6741662.0,conventional,California
2015-06-07,2015,6,7,0.98,6374843.0,conventional,California
2015-05-31,2015,5,31,0.98,6236903.0,conventional,California
2015-05-24,2015,5,24,1.1,5621714.0,conventional,California
2015-05-17,2015,5,17,1.08,5289138.0,conventional,California
2015-05-10,2015,5,10,0.93,6650358.0,conventional,California
2015-05-03,2015,5,3,0.88,8567534.0,conventional,California
2015-04-26,2015,4,26,1.15,4923565.0,conventional,California
2015-04-19,2015,4,19,1.05,5871081.0,conventional,California
2015-04-12,2015,4,12,1.06,5636645.0,conventional,California
2015-04-05,2015,4,5,1.12,5467156.0,conventional,California
2015-03-29,2015,3,29,1.1,5341822.0,conventional,California
2015-03-22,2015,3,22,1.06,5571813.0,conventional,California
2015-03-15,2015,3,15,1.06,5557163.0,conventional,California
2015-03-08,2015,3,8,0.96,5990244.0,conventional,California
2015-03-01,2015,3,1,0.84,6700134.0,conventional,California
2015-02-22,2015,2,22,0.96,5951871.0,conventional,California
2015-02-15,2015,2,15,0.96,5699945.0,conventional,California
2015-02-08,2015,2,8,0.91,5871225.0,conventional,California
2015-02-01,2015,2,1,0.85,9032181.0,conventional,California
2015-01-25,2015,1,25,1.06,4929884.0,conventional,California
2015-01-18,2015,1,18,1.02,5570915.0,conventional,California
2015-01-11,2015,1,11,0.92,6024932.0,conventional,California
2015-01-04,2015,1,4,0.93,5777335.0,conventional,California
2015-12-27,2015,12,27,0.96,156698.0,conventional,Charlotte
2015-12-20,2015,12,20,0.98,139918.0,conventional,Charlotte
2015-12-13,2015,12,13,0.95,157146.0,conventional,Charlotte
2015-12-06,2015,12,6,0.99,156114.0,conventional,Charlotte
2015-11-29,2015,11,29,0.95,138859.0,conventional,Charlotte
2015-11-22,2015,11,22,1.0,133618.0,conventional,Charlotte
2015-11-15,2015,11,15,1.01,169281.0,conventional,Charlotte
2015-11-08,2015,11,8,1.03,164322.0,conventional,Charlotte
2015-11-01,2015,11,1,1.11,171794.0,conventional,Charlotte
2015-10-25,2015,10,25,1.27,140921.0,conventional,Charlotte
2015-10-18,2015,10,18,1.26,156566.0,conventional,Charlotte
2015-10-11,2015,10,11,1.14,167397.0,conventional,Charlotte
2015-10-04,2015,10,4,1.22,146738.0,conventional,Charlotte
2015-09-27,2015,9,27,1.09,168780.0,conventional,Charlotte
2015-09-20,2015,9,20,1.2,161444.0,conventional,Charlotte
2015-09-13,2015,9,13,1.19,171078.0,conventional,Charlotte
2015-09-06,2015,9,6,1.01,227728.0,conventional,Charlotte
2015-08-30,2015,8,30,1.2,179027.0,conventional,Charlotte
2015-08-23,2015,8,23,1.15,203298.0,conventional,Charlotte
2015-08-16,2015,8,16,1.24,178526.0,conventional,Charlotte
2015-08-09,2015,8,9,1.21,173059.0,conventional,Charlotte
2015-08-02,2015,8,2,1.24,179322.0,conventional,Charlotte
2015-07-26,2015,7,26,1.23,173897.0,conventional,Charlotte
2015-07-19,2015,7,19,1.19,187575.0,conventional,Charlotte
2015-07-12,2015,7,12,1.18,182857.0,conventional,Charlotte
2015-07-05,2015,7,5,1.18,216119.0,conventional,Charlotte
2015-06-28,2015,6,28,1.17,193654.0,conventional,Charlotte
2015-06-21,2015,6,21,1.17,201173.0,conventional,Charlotte
2015-06-14,2015,6,14,1.15,207094.0,conventional,Charlotte
2015-06-07,2015,6,7,1.15,199980.0,conventional,Charlotte
2015-05-31,2015,5,31,1.19,194631.0,conventional,Charlotte
2015-05-24,2015,5,24,1.2,212528.0,conventional,Charlotte
2015-05-17,2015,5,17,1.21,190800.0,conventional,Charlotte
2015-05-10,2015,5,10,1.19,192767.0,conventional,Charlotte
2015-05-03,2015,5,3,1.0,261492.0,conventional,Charlotte
2015-04-26,2015,4,26,1.2,182142.0,conventional,Charlotte
2015-04-19,2015,4,19,1.18,180944.0,conventional,Charlotte
2015-04-12,2015,4,12,1.17,204005.0,conventional,Charlotte
2015-04-05,2015,4,5,1.19,177919.0,conventional,Charlotte
2015-03-29,2015,3,29,1.23,178788.0,conventional,Charlotte
2015-03-22,2015,3,22,1.19,182876.0,conventional,Charlotte
2015-03-15,2015,3,15,1.19,183944.0,conventional,Charlotte
2015-03-08,2015,3,8,1.25,159387.0,conventional,Charlotte
2015-03-01,2015,3,1,1.18,176146.0,conventional,Charlotte
2015-02-22,2015,2,22,1.08,201741.0,conventional,Charlotte
2015-02-15,2015,2,15,1.22,156799.0,conventional,Charlotte
2015-02-08,2015,2,8,1.17,150139.0,conventional,Charlotte
2015-02-01,2015,2,1,0.98,254010.0,conventional,Charlotte
2015-01-25,2015,1,25,1.18,167270.0,conventional,Charlotte
2015-01-18,2015,1,18,1.25,152671.0,conventional,Charlotte
2015-01-11,2015,1,11,1.26,159943.0,conventional,Charlotte
2015-01-04,2015,1,4,1.19,166006.0,conventional,Charlotte
2015-12-27,2015,12,27,0.93,661137.0,conventional,Chicago
2015-12-20,2015,12,20,0.91,690669.0,conventional,Chicago
2015-12-13,2015,12,13,1.07,668602.0,conventional,Chicago
2015-12-06,2015,12,6,1.14,664020.0,conventional,Chicago
2015-11-29,2015,11,29,1.11,602481.0,conventional,Chicago
2015-11-22,2015,11,22,0.94,751898.0,conventional,Chicago
2015-11-15,2015,11,15,1.17,641882.0,conventional,Chicago
2015-11-08,2015,11,8,1.01,711147.0,conventional,Chicago
2015-11-01,2015,11,1,1.0,807041.0,conventional,Chicago
