,Coffee,Size,Tip
103,Cappuccino,Md,1.26
104,Espresso,Lg,3.02
105,Cappuccino,Lg,0.6
106,Espresso,Lg,3.71
107,Latte,Md,0.0
108,Cappuccino,Lg,4.19
109,Cappuccino,Md,3.92
110,Cappuccino,Md,0.0
111,Latte,Md,1.73
112,Cappuccino,Md,0.73
113,Americano,Md,2.49
114,Cappuccino,Md,1.2
115,Cappuccino,Lg,2.57
116,Latte,Lg,0.0
117,Cappuccino,Md,1.45
118,Cappuccino,Md,0.49
119,Macchiato,Sm,1.04
120,Latte,Md,1.27
121,Americano,Lg,0.0
122,Latte,Lg,1.69
123,Espresso,Lg,2.43
124,Macchiato,Sm,2.61
125,Macchiato,Sm,1.43
126,Latte,Md,0.0
127,Latte,Sm,1.31
128,Latte,Lg,0.78
129,Latte,Md,6.4
130,Cappuccino,Md,2.18
131,Cappuccino,Lg,0.0
132,Latte,Lg,1.4
133,Cappuccino,Md,1.76
134,Macchiato,Sm,2.43
135,Cappuccino,Sm,0.71
136,Cappuccino,Lg,3.95
137,Cappuccino,Lg,0.32
138,Latte,Md,0.0
139,Macchiato,Sm,0.35
140,Espresso,Md,1.73
141,Latte,Lg,1.9
142,Espresso,Md,2.12
143,Latte,Md,1.67
144,Latte,Sm,0.57
145,Macchiato,Sm,1.64
146,Macchiato,Sm,2.17
147,Cappuccino,Lg,4.26
148,Latte,Md,0.0
149,Latte,Md,3.92
150,Latte,Sm,4.1
151,Latte,Md,2.55
152,Cappuccino,Sm,2.15
153,Cappuccino,Sm,1.08
154,Americano,Md,0.37
155,Latte,Md,1.31
156,Cappuccino,Md,3.82
157,Cappuccino,Md,3.38
158,Macchiato,Sm,2.24
159,Latte,Sm,1.15
160,Latte,Lg,0.8
161,Latte,Md,3.41
162,Cappuccino,Lg,1.42
163,Latte,Md,1.56
164,Latte,Sm,0.41
165,Latte,Sm,1.48
166,Latte,Md,1.47
167,Macchiato,Sm,1.54
168,Espresso,Md,1.2
169,Latte,Md,1.9
170,Cappuccino,Md,0.25
171,Latte,Md,2.75
172,Latte,Lg,2.73
173,Latte,Md,2.79
174,Latte,Md,2.76
175,Macchiato,Sm,0.13
176,Macchiato,Sm,1.63
177,Espresso,Md,0.3
178,Latte,Md,3.14
179,Cappuccino,Md,4.23
180,Latte,Lg,2.56
181,Macchiato,Sm,3.85
182,Cappuccino,Md,0.84
183,Americano,Sm,0.66
184,Espresso,Lg,0.95
185,Cappuccino,Sm,0.92
186,Cappuccino,Lg,0.84
187,Latte,Lg,0.0
188,Americano,Sm,0.67
189,Cappuccino,Lg,0.78
190,Macchiato,Sm,4.23
191,Americano,Sm,3.77
192,Cappuccino,Md,3.88
193,Cappuccino,Md,0.91
194,Cappuccino,Sm,2.11
195,Latte,Sm,2.19
196,Cappuccino,Md,0.99
197,Espresso,Md,2.2
198,Latte,Md,1.8
199,Espresso,Sm,4.24
200,Cappuccino,Sm,3.55
201,Cappuccino,Sm,4.54
202,Cappuccino,Lg,5.25
203,Macchiato,Sm,0.67
204,Latte,Md,3.5
205,Latte,Md,0.59
206,Latte,Sm,1.96
207,Americano,Md,3.76
208,Latte,Md,4.17
209,Latte,Md,4.34
210,Cappuccino,Md,0.02
211,Macchiato,Sm,1.96
212,Latte,Sm,2.91
213,Cappuccino,Md,3.69
214,Latte,Lg,1.33
215,Latte,Md,2.21
216,Macchiato,Sm,1.92
217,Americano,Md,1.72
218,Latte,Md,1.25
219,Latte,Sm,0.51
220,Latte,Sm,2.53
221,Americano,Md,4.11
222,Latte,Md,0.0
223,Latte,Sm,0.92
224,Latte,Md,0.81
225,Espresso,Md,2.46
226,Cappuccino,Sm,1.63
227,Cappuccino,Md,1.5
228,Latte,Md,3.08
229,Latte,Lg,0.29
230,Cappuccino,Md,2.1
231,Cappuccino,Lg,1.89
232,Latte,Lg,0.85
233,Macchiato,Sm,4.05
234,Latte,Md,2.78
235,Latte,Md,2.26
236,Latte,Md,0.78
237,Latte,Md,0.47
238,Latte,Md,4.51
239,Latte,Lg,3.35
240,Espresso,Lg,3.79
241,Macchiato,Sm,1.84
242,Cappuccino,Sm,1.19
243,Latte,Lg,2.3
244,Cappuccino,Md,2.57
245,Latte,Md,2.46
246,Latte,Lg,2.65
247,Latte,Md,3.02
248,Cappuccino,Md,0.67
249,Latte,Sm,3.35
250,Latte,Sm,4.1
251,Latte,Sm,0.77
252,Latte,Sm,2.04
253,Latte,Md,3.72
254,Espresso,Sm,1.67
255,Cappuccino,Lg,2.66
256,Latte,Lg,1.76
257,Latte,Lg,0.31
258,Espresso,Lg,5.6
259,Americano,Sm,0.35
260,Latte,Sm,0.01
261,Latte,Md,1.69
262,Latte,Md,1.65
263,Latte,Md,2.08
264,Latte,Md,4.17
265,Latte,Md,0.34
266,Latte,Lg,2.18
267,Latte,Lg,2.59
268,Macchiato,Sm,4.22
269,Cappuccino,Lg,4.73
270,Cappuccino,Sm,2.51
271,Macchiato,Sm,0.0
272,Cappuccino,Lg,0.28
273,Macchiato,Sm,0.65
274,Latte,Md,3.01
275,Latte,Sm,0.0
276,Latte,Md,0.0
277,Latte,Md,0.0
278,Macchiato,Sm,1.51
279,Latte,Md,0.0
280,Cappuccino,Md,2.64
281,Latte,Lg,1.68
282,Latte,Lg,1.46
283,Latte,Lg,3.23
284,Macchiato,Sm,0.0
285,Latte,Lg,0.82
286,Cappuccino,Md,0.0
287,Latte,Md,2.8
288,Latte,Md,1.14
289,Macchiato,Sm,0.16
290,Macchiato,Sm,0.98
291,Cappuccino,Md,2.32
292,Americano,Md,0.84
293,Cappuccino,Sm,3.0
294,Cappuccino,Sm,5.83
295,Macchiato,Sm,2.94
296,Cappuccino,Md,1.4
297,Americano,Md,1.37
298,Cappuccino,Md,1.92
299,Latte,Lg,2.67
300,Latte,Sm,3.07
301,Latte,Md,2.39
302,Cappuccino,Lg,1.24
303,Cappuccino,Md,3.81
304,Cappuccino,Lg,1.36
305,Latte,Lg,1.2
306,Cappuccino,Sm,2.79
307,Latte,Lg,0.0
308,Latte,Lg,1.25
309,Macchiato,Sm,3.79
310,Latte,Sm,1.49
311,Macchiato,Sm,1.39
312,Macchiato,Sm,1.56
313,Macchiato,Sm,1.96
314,Macchiato,Sm,0.68
315,Americano,Md,3.72
316,Espresso,Lg,1.8
317,Cappuccino,Sm,1.1
318,Latte,Lg,1.35
319,Latte,Lg,3.61
320,Cappuccino,Md,3.68
321,Latte,Md,2.27
322,Latte,Sm,4.31
323,Cappuccino,Lg,3.2
324,Latte,Lg,1.44
325,Latte,Lg,3.81
326,Latte,Sm,0.38
327,Cappuccino,Lg,4.4
328,Latte,Lg,3.26
329,Macchiato,Sm,1.67
330,Cappuccino,Md,1.65
331,Macchiato,Sm,2.69
332,Latte,Sm,0.0
333,Cappuccino,Lg,0.72
334,Latte,Md,1.6
335,Latte,Md,0.99
336,Latte,Md,2.31
337,Cappuccino,Sm,1.42
338,Macchiato,Sm,2.17
339,Macchiato,Sm,2.43
340,Americano,Md,4.3
341,Macchiato,Sm,0.75
342,Latte,Lg,2.71
343,Latte,Md,0.54
344,Latte,Sm,0.0
345,Latte,Md,1.0
346,Americano,Md,0.76
347,Latte,Sm,3.27
348,Cappuccino,Md,2.03
349,Cappuccino,Lg,1.81
350,Latte,Sm,2.49
351,Americano,Lg,5.45
352,Latte,Md,2.89
353,Latte,Md,2.31
354,Latte,Lg,4.47
355,Latte,Md,1.98
356,Latte,Sm,2.92
357,Latte,Lg,1.09
358,Latte,Md,0.25
359,Cappuccino,Md,1.88
360,Latte,Md,1.82
361,Macchiato,Sm,3.17
362,Latte,Md,1.69
363,Macchiato,Sm,1.74
364,Americano,Lg,3.72
365,Macchiato,Sm,1.28
366,Espresso,Lg,1.47
367,Latte,Md,2.42
368,Macchiato,Sm,0.64
369,Cappuccino,Lg,0.91
370,Americano,Lg,0.67
371,Latte,Md,1.21
372,Macchiato,Sm,0.58
373,Cappuccino,Lg,6.54
374,Latte,Md,2.14
375,Cappuccino,Md,3.67
376,Latte,Md,2.66
377,Cappuccino,Md,2.56
378,Macchiato,Sm,0.12
379,Latte,Lg,3.79
380,Cappuccino,Md,2.1
381,Latte,Lg,0.67
382,Espresso,Sm,2.53
383,Cappuccino,Md,1.72
384,Latte,Md,4.38
385,Americano,Lg,2.63
386,Cappuccino,Lg,2.7
387,Latte,Lg,1.03
388,Cappuccino,Sm,3.5
389,Macchiato,Sm,2.85
390,Macchiato,Sm,5.57
391,Cappuccino,Md,0.09
392,Espresso,Lg,1.25
393,Cappuccino,Md,1.92
394,Macchiato,Sm,0.0
395,Americano,Md,2.09
396,Cappuccino,Md,5.96
397,Latte,Md,0.0
398,Espresso,Md,3.06
399,Macchiato,Sm,1.82
400,Latte,Md,2.62
401,Cappuccino,Md,1.48
402,Macchiato,Sm,0.22
403,Cappuccino,Md,1.59
404,Latte,Md,2.58
405,Cappuccino,Md,0.51
406,Latte,Sm,1.56
407,Macchiato,Sm,2.32
408,Cappuccino,Md,3.06
409,Macchiato,Sm,3.86
410,Latte,Sm,0.13
411,Macchiato,Sm,3.71
412,Latte,Md,3.17
413,Cappuccino,Md,1.86
414,Cappuccino,Md,1.38
415,Latte,Md,2.27
416,Cappuccino,Lg,0.99
417,Cappuccino,Md,1.88
418,Cappuccino,Sm,0.0
419,Macchiato,Sm,0.3
420,Espresso,Md,3.14
421,Latte,Md,1.97
422,Latte,Lg,3.74
423,Latte,Md,2.35
424,Latte,Md,2.6
425,Latte,Sm,2.74
426,Macchiato,Sm,0.99
427,Cappuccino,Lg,4.39
428,Cappuccino,Md,1.23
429,Cappuccino,Md,2.48
430,Macchiato,Sm,2.02
431,Macchiato,Sm,1.37
432,Espresso,Lg,2.94
433,Latte,Md,1.82
434,Latte,Sm,2.66
435,Latte,Lg,0.0
436,Latte,Lg,1.55
437,Latte,Lg,2.62
438,Cappuccino,Sm,1.8
439,Latte,Md,1.77
440,Latte,Md,4.43
441,Cappuccino,Lg,4.66
442,Latte,Sm,0.93
443,Latte,Sm,1.58
444,Cappuccino,Md,1.76
445,Macchiato,Sm,3.12
446,Latte,Sm,3.44
447,Macchiato,Sm,2.52
448,Latte,Lg,0.0
449,Cappuccino,Md,0.0
450,Cappuccino,Sm,2.0
451,Latte,Lg,0.3
452,Cappuccino,Sm,2.27
453,Latte,Sm,1.51
454,Macchiato,Sm,6.52
455,Cappuccino,Lg,0.64
456,Cappuccino,Md,6.48
457,Cappuccino,Md,0.0
458,Latte,Md,2.16
459,Latte,Lg,1.34
460,Latte,Md,0.76
461,Cappuccino,Lg,1.03
462,Latte,Lg,4.43
463,Macchiato,Sm,1.2
464,Latte,Md,2.14
465,Americano,Lg,0.24
466,Cappuccino,Sm,0.72
467,Americano,Md,0.2
468,Latte,Lg,0.73
469,Latte,Md,2.44
470,Cappuccino,Md,3.52
471,Cappuccino,Lg,0.24
472,Latte,Md,1.16
473,Macchiato,Sm,2.11
474,Latte,Lg,1.24
475,Latte,Sm,3.28
476,Latte,Sm,4.37
477,Macchiato,Sm,0.74
478,Latte,Sm,2.81
479,Cappuccino,Md,4.41
480,Cappuccino,Md,1.9
481,Cappuccino,Sm,1.58
482,Latte,Md,1.38
483,Latte,Md,2.41
484,Latte,Lg,3.49
485,Espresso,Lg,0.67
486,Latte,Lg,0.18
487,Latte,Sm,4.71
488,Espresso,Sm,1.7
489,Cappuccino,Md,2.87
490,Cappuccino,Lg,3.76
491,Cappuccino,Sm,2.48
492,Cappuccino,Sm,1.69
493,Latte,Md,3.8
494,Cappuccino,Md,2.64
495,Latte,Sm,2.82
496,Latte,Sm,1.41
497,Cappuccino,Sm,1.63
498,Latte,Md,2.61
499,Latte,Sm,0.24
500,Latte,Md,5.03
501,Latte,Md,0.4
502,Cappuccino,Md,4.25
503,Espresso,Md,2.06
504,Macchiato,Sm,2.57
505,Cappuccino,Lg,3.45
506,Latte,Md,1.34
507,Latte,Md,0.81
508,Espresso,Sm,0.0
509,Latte,Md,3.52
510,Macchiato,Sm,3.18
511,Latte,Md,0.84
512,Americano,Md,0.0
513,Latte,Md,3.39
514,Latte,Lg,3.17
515,Latte,Md,1.9
516,Latte,Lg,1.85
517,Latte,Md,0.38
518,Latte,Sm,2.32
519,Latte,Md,1.25
520,Cappuccino,Sm,0.83
521,Cappuccino,Md,0.0
522,Latte,Md,1.77
523,Latte,Sm,2.45
524,Macchiato,Sm,0.25
525,Americano,Lg,2.26
526,Macchiato,Sm,3.67
527,Latte,Md,0.57
528,Latte,Sm,1.9
529,Macchiato,Sm,1.7
530,Cappuccino,Md,4.43
531,Macchiato,Sm,4.79
532,Latte,Md,1.09
533,Latte,Lg,2.3
534,Latte,Md,4.49
535,Macchiato,Sm,0.46
536,Cappuccino,Md,0.0
537,Americano,Sm,3.62
538,Latte,Sm,3.56
539,Macchiato,Sm,4.07
540,Latte,Md,2.46
541,Cappuccino,Md,3.02
542,Latte,Md,1.0
543,Latte,Sm,0.62
544,Latte,Lg,1.66
545,Latte,Lg,2.07
546,Cappuccino,Sm,2.24
547,Cappuccino,Md,2.05
548,Cappuccino,Md,0.0
549,Latte,Lg,2.3
550,Cappuccino,Md,2.15
551,Macchiato,Sm,1.75
552,Cappuccino,Lg,0.0
553,Latte,Lg,0.0
554,Latte,Md,2.42
555,Espresso,Md,0.71
556,Latte,Md,4.2
557,Americano,Md,0.6
558,Latte,Lg,3.1
559,Latte,Md,1.52
560,Latte,Lg,2.57
561,Latte,Sm,2.12
562,Latte,Md,4.17
563,Macchiato,Sm,2.46
564,Latte,Lg,4.7
565,Cappuccino,Lg,2.0
566,Latte,Md,1.26
567,Cappuccino,Lg,1.12
568,Latte,Lg,1.56
569,Latte,Md,1.04
570,Americano,Lg,3.03
571,Cappuccino,Lg,3.12
572,Latte,Md,0.83
573,Latte,Lg,2.03
574,Macchiato,Sm,1.28
575,Cappuccino,Sm,1.7
576,Cappuccino,Md,1.72
577,Latte,Sm,2.51
578,Cappuccino,Lg,3.11
579,Latte,Lg,2.75
580,Latte,Md,1.84
581,Americano,Lg,2.94
582,Macchiato,Sm,1.75
583,Latte,Lg,1.72
584,Latte,Lg,0.66
585,Latte,Lg,0.78
586,Latte,Lg,0.0
587,Espresso,Sm,2.03
588,Cappuccino,Lg,3.64
589,Latte,Lg,1.0
590,Cappuccino,Md,4.7
591,Macchiato,Sm,0.88
592,Latte,Md,3.45
593,Cappuccino,Md,3.3
594,Latte,Md,0.55
595,Espresso,Sm,0.0
596,Cappuccino,Lg,0.0
597,Latte,Lg,2.74
598,Latte,Sm,3.56
599,Latte,Sm,3.03
600,Macchiato,Sm,2.03
601,Americano,Sm,0.05
602,Latte,Lg,0.84
603,Latte,Md,3.94
604,Cappuccino,Md,1.36
605,Latte,Md,1.42
606,Cappuccino,Md,1.22
607,Latte,Sm,3.29
608,Macchiato,Sm,4.07
609,Cappuccino,Lg,0.64
610,Espresso,Md,4.85
611,Cappuccino,Md,1.47
612,Cappuccino,Md,2.34
613,Cappuccino,Md,1.32
614,Cappuccino,Md,5.53
615,Latte,Lg,0.84
616,Latte,Lg,1.11
617,Latte,Md,0.36
618,Macchiato,Sm,0.88
619,Latte,Lg,1.54
620,Latte,Lg,1.6
621,Latte,Md,0.58
622,Latte,Md,3.6
623,Latte,Lg,2.69
624,Latte,Md,1.19
625,Cappuccino,Md,0.92
626,Cappuccino,Sm,2.63
627,Latte,Lg,0.24
628,Latte,Lg,1.92
629,Macchiato,Sm,1.65
630,Latte,Md,0.0
631,Latte,Md,4.52
632,Macchiato,Sm,2.63
633,Latte,Md,0.0
634,Latte,Md,1.54
635,Cappuccino,Md,2.32
636,Macchiato,Sm,1.1
637,Latte,Lg,1.71
638,Cappuccino,Md,2.58
639,Macchiato,Sm,1.29
640,Latte,Md,3.71
641,Espresso,Lg,0.42
642,Latte,Lg,2.4
643,Americano,Md,5.13
644,Cappuccino,Lg,0.0
645,Americano,Md,3.4
646,Espresso,Lg,2.49
647,Macchiato,Sm,0.59
648,Latte,Md,0.0
649,Latte,Lg,2.51
650,Macchiato,Sm,2.03
651,Latte,Lg,1.33
652,Latte,Lg,2.62
653,Macchiato,Sm,0.15
654,Cappuccino,Md,4.13
655,Macchiato,Sm,1.18
656,Macchiato,Sm,1.02
657,Latte,Lg,1.69
658,Macchiato,Sm,0.79
659,Latte,Sm,3.31
660,Latte,Md,1.46
661,Cappuccino,Md,2.29
662,Cappuccino,Lg,1.65
663,Cappuccino,Md,2.99
664,Macchiato,Sm,1.42
665,Latte,Lg,0.19
666,Macchiato,Sm,2.75
667,Espresso,Md,2.83
668,Macchiato,Sm,5.17
669,Latte,Lg,1.59
670,Americano,Sm,3.57
671,Espresso,Lg,2.35
672,Latte,Lg,2.14
673,Cappuccino,Md,2.75
674,Cappuccino,Lg,2.74
675,Cappuccino,Md,1.46
676,Latte,Md,0.58
677,Cappuccino,Md,1.13
678,Latte,Md,3.99
679,Macchiato,Sm,1.04
680,Latte,Sm,1.42
681,Latte,Sm,3.1
682,Espresso,Md,3.12
683,Latte,Lg,3.25
684,Latte,Md,4.06
685,Macchiato,Sm,1.78
686,Latte,Md,0.0
687,Cappuccino,Md,3.29
688,Cappuccino,Md,0.31
689,Cappuccino,Sm,1.6
690,Latte,Md,1.55
691,Cappuccino,Md,0.56
692,Latte,Lg,1.88
693,Cappuccino,Md,1.43
694,Latte,Lg,0.83
695,Macchiato,Sm,3.46
696,Latte,Md,1.81
697,Macchiato,Sm,4.44
698,Espresso,Md,4.33
699,Macchiato,Sm,3.6
700,Latte,Sm,2.9
701,Macchiato,Sm,0.43
702,Cappuccino,Lg,1.85
703,Latte,Lg,1.92
704,Latte,Md,0.12
705,Cappuccino,Sm,0.62
706,Macchiato,Sm,2.21
707,Macchiato,Sm,2.83
708,Cappuccino,Sm,1.29
709,Latte,Md,0.0
710,Cappuccino,Lg,2.38
711,Latte,Sm,0.0
712,Americano,Sm,1.39
713,Latte,Md,3.25
714,Latte,Md,2.33
715,Cappuccino,Lg,0.31
716,Americano,Md,0.2
717,Americano,Lg,1.42
718,Cappuccino,Md,0.92
719,Latte,Lg,6.21
720,Espresso,Md,1.88
721,Americano,Md,2.63
722,Cappuccino,Md,2.96
723,Latte,Lg,2.12
724,Latte,Md,1.66
725,Macchiato,Sm,5.45
726,Espresso,Sm,2.58
727,Latte,Md,2.86
728,Latte,Lg,0.42
729,Macchiato,Sm,4.11
730,Latte,Md,2.4
731,Latte,Md,2.55
732,Cappuccino,Md,1.0
733,Americano,Sm,2.73
734,Cappuccino,Sm,2.48
735,Espresso,Lg,3.77
736,Latte,Md,1.55
737,Americano,Md,0.78
738,Macchiato,Sm,1.8
739,Latte,Lg,2.93
740,Espresso,Md,1.2
741,Cappuccino,Sm,2.3
742,Latte,Md,3.63
743,Latte,Lg,1.99
744,Macchiato,Sm,1.46
745,Latte,Sm,0.71
746,Latte,Sm,1.99
747,Macchiato,Sm,3.88
748,Americano,Lg,1.12
749,Latte,Md,2.63
750,Cappuccino,Md,1.11
751,Cappuccino,Md,2.24
752,Latte,Sm,0.42
753,Latte,Sm,1.99
754,Cappuccino,Md,1.31
755,Latte,Lg,0.94
756,Latte,Sm,1.93
757,Latte,Lg,0.0
758,Latte,Md,2.72
759,Macchiato,Sm,0.0
760,Macchiato,Sm,2.78
761,Latte,Md,2.67
762,Latte,Lg,0.0
763,Latte,Lg,0.0
764,Cappuccino,Md,4.16
765,Latte,Md,2.57
766,Latte,Md,2.64
767,Latte,Sm,0.82
768,Macchiato,Sm,2.37
769,Latte,Lg,1.71
770,Cappuccino,Sm,4.2
771,Latte,Lg,2.96
772,Espresso,Lg,2.0
773,Cappuccino,Lg,1.59
774,Americano,Sm,5.12
775,Latte,Lg,1.22
776,Cappuccino,Md,0.06
777,Espresso,Sm,0.0
778,Latte,Md,2.0
779,Latte,Sm,3.79
780,Latte,Lg,0.74
781,Latte,Lg,1.17
782,Macchiato,Sm,1.44
783,Latte,Md,0.95
784,Macchiato,Sm,0.94
785,Cappuccino,Lg,2.11
786,Latte,Md,1.59
787,Latte,Md,2.42
788,Cappuccino,Sm,1.88
789,Latte,Lg,4.76
790,Latte,Lg,2.19
791,Latte,Lg,2.16
792,Espresso,Lg,4.39
793,Macchiato,Sm,2.85
794,Cappuccino,Md,1.58
795,Latte,Lg,0.79
796,Cappuccino,Md,1.73
797,Latte,Md,0.53
798,Cappuccino,Md,1.28
799,Latte,Md,0.98
800,Macchiato,Sm,2.7
801,Latte,Md,0.81
802,Cappuccino,Lg,1.81
803,Latte,Lg,1.18
804,Latte,Md,3.32
805,Cappuccino,Lg,1.09
806,Americano,Lg,3.72
807,Latte,Md,0.0
808,Latte,Md,1.96
809,Latte,Md,0.81
810,Latte,Md,1.4
811,Americano,Sm,3.76
812,Macchiato,Sm,2.98
813,Cappuccino,Md,1.85
814,Macchiato,Sm,1.1
815,Latte,Md,6.09
816,Cappuccino,Lg,1.94
817,Latte,Md,1.37
818,Latte,Md,2.04
819,Cappuccino,Md,2.31
820,Latte,Lg,3.41
821,Latte,Sm,2.64
822,Latte,Md,0.98
823,Latte,Sm,2.16
824,Cappuccino,Md,2.5
825,Latte,Lg,3.43
826,Latte,Md,5.05
827,Cappuccino,Sm,1.66
828,Latte,Lg,4.74
829,Latte,Md,0.41
830,Latte,Lg,0.5
831,Latte,Sm,1.38
832,Latte,Lg,1.09
833,Latte,Md,0.42
834,Latte,Sm,1.05
835,Espresso,Md,0.99
836,Latte,Md,4.94
837,Cappuccino,Md,5.55
838,Cappuccino,Lg,3.55
839,Macchiato,Sm,1.52
840,Latte,Md,2.28
841,Cappuccino,Md,4.52
842,Cappuccino,Md,1.66
843,Latte,Md,0.0
844,Latte,Sm,1.83
845,Latte,Sm,0.87
846,Macchiato,Sm,1.42
847,Macchiato,Sm,1.4
848,Cappuccino,Sm,2.46
849,Americano,Md,3.51
850,Latte,Md,1.73
851,Cappuccino,Lg,0.42
852,Americano,Md,0.0
853,Latte,Lg,0.0
854,Cappuccino,Sm,2.22
855,Latte,Sm,0.0
856,Latte,Md,2.09
857,Latte,Md,2.63
858,Latte,Md,0.96
859,Latte,Md,1.11
860,Cappuccino,Md,2.07
861,Cappuccino,Md,1.56
862,Cappuccino,Md,1.45
863,Latte,Lg,1.54
864,Cappuccino,Md,1.24
865,Latte,Lg,4.29
866,Cappuccino,Md,2.05
867,Latte,Md,1.61
868,Latte,Lg,2.46
869,Cappuccino,Lg,4.8
870,Macchiato,Sm,0.52
871,Latte,Sm,4.0
872,Latte,Md,0.87
873,Cappuccino,Lg,6.1
874,Cappuccino,Md,3.09
875,Cappuccino,Md,2.13
876,Latte,Md,0.44
877,Latte,Md,2.07
878,Latte,Sm,1.78
879,Cappuccino,Md,2.98
880,Americano,Lg,1.97
881,Latte,Lg,1.28
882,Latte,Md,2.81
883,Macchiato,Sm,1.25
884,Latte,Md,0.2
885,Latte,Sm,2.75
886,Macchiato,Sm,2.34
887,Cappuccino,Lg,2.24
888,Americano,Lg,1.35
889,Cappuccino,Md,2.02
890,Latte,Md,1.96
891,Cappuccino,Sm,2.07
892,Cappuccino,Lg,1.59
893,Cappuccino,Sm,2.65
894,Latte,Sm,1.31
895,Latte,Md,2.87
896,Macchiato,Sm,2.23
897,Cappuccino,Lg,3.91
898,Cappuccino,Md,0.02
899,Espresso,Md,3.55
900,Latte,Md,1.88
901,Latte,Lg,1.65
902,Espresso,Lg,0.47
903,Macchiato,Sm,2.51
904,Cappuccino,Md,2.58
905,Macchiato,Sm,1.76
906,Latte,Lg,2.08
907,Latte,Sm,4.13
908,Latte,Sm,3.65
909,Espresso,Md,0.41
910,Cappuccino,Md,1.97
911,Latte,Md,0.55
912,Latte,Sm,0.05
913,Macchiato,Sm,0.0
914,Cappuccino,Lg,0.0
915,Espresso,Lg,2.21
916,Latte,Lg,1.68
917,Latte,Sm,1.36
918,Latte,Md,0.97
919,Latte,Lg,0.0
920,Macchiato,Sm,2.16
921,Latte,Lg,3.47
922,Cappuccino,Sm,2.14
923,Cappuccino,Md,0.0
924,Macchiato,Sm,2.73
925,Cappuccino,Md,3.37
926,Latte,Md,0.0
927,Latte,Sm,3.11
928,Cappuccino,Sm,1.94
929,Latte,Sm,2.68
930,Cappuccino,Sm,0.13
931,Latte,Md,0.0
932,Latte,Md,3.58
933,Cappuccino,Md,1.54
934,Cappuccino,Lg,1.27
935,Latte,Sm,2.13
936,Latte,Md,1.33
937,Latte,Lg,2.01
938,Latte,Md,3.5
939,Americano,Lg,2.18
940,Cappuccino,Lg,0.42
941,Macchiato,Sm,3.62
942,Latte,Sm,2.52
943,Latte,Md,2.12
944,Cappuccino,Sm,2.18
945,Latte,Md,0.76
946,Latte,Sm,2.0
947,Espresso,Md,0.41
